created_at,field1,field2,field3,field4,field5
2026-01-20 05:03:00,26.86,85.2,31,484.23,2
2026-01-20 05:06:00,30.53,40.18,50,0,0
2026-01-20 05:07:00,21.46,90.13,25,497.86,2
2026-01-20 05:15:00,29.69,50.09,49,8.04,0
2026-01-20 05:17:00,27.05,68.05,39,83.75,1
2026-01-20 05:18:00,24.02,90.81,18,318.25,2
2026-01-20 05:19:00,24.59,86.18,20,410.92,2
2026-01-20 05:21:00,30.4,68.01,38,55.78,1
2026-01-20 05:28:00,30.99,74.54,43,96.97,1
2026-01-20 05:32:00,24.31,94.63,30,0,2
2026-01-20 05:40:00,25.58,94.49,22,403.5,2
2026-01-20 05:43:00,30.9,35.61,0,0,0
2026-01-20 05:43:30,29.73,91.58,32,89.12,1
2026-01-20 05:47:00,31.83,46.51,49,6.86,0
2026-01-20 05:48:00,29.61,78.5,40,31.28,1
2026-01-20 05:50:00,33.91,34.04,45,14.45,0
2026-01-20 05:51:00,31.87,45.58,51,0.2,0
2026-01-20 05:52:00,32.31,58.13,50,8.39,0
2026-01-20 05:56:00,29.49,77.52,42,40.23,1
2026-01-20 05:58:00,24.13,88.15,15,713.88,2
2026-01-20 05:59:00,34.35,47.96,50,16.95,0
2026-01-20 06:01:00,25.71,93.07,12,615.52,2
2026-01-20 06:10:00,32.63,56.98,54,0,0
2026-01-20 06:10:30,34.03,49,49,0.6,0
2026-01-20 06:18:00,24.37,81.51,0,662.54,2
2026-01-20 06:20:00,23.58,88.49,11,581.9,2
2026-01-20 06:23:00,27.48,82.19,41,85,1
2026-01-20 06:23:30,27.38,90.38,28,291.29,2
2026-01-20 06:26:00,33.75,54.66,45,0,0
2026-01-20 06:26:30,26.42,101.6,16,160.82,2
2026-01-20 06:33:00,34.4,49.83,51,0,0
2026-01-20 06:33:30,32.86,50.8,49,11.46,0
2026-01-20 06:34:00,30.3,0,34,28.11,1
2026-01-20 06:36:00,31.85,54.87,43,12.04,0
2026-01-20 06:39:00,23.82,88.34,21,532.11,2
2026-01-20 06:40:00,0,77.96,41,0,1
2026-01-20 06:41:00,34.71,61.74,45,0,0
2026-01-20 06:46:00,27.85,85.66,45,0,1
2026-01-20 06:48:00,35.85,49.77,47,23.57,0
2026-01-20 06:57:00,35.3,45.36,46,7.09,0
2026-01-20 07:03:00,27.84,84.78,35,70.78,1
2026-01-20 07:04:00,26.54,68.79,0,55.09,1
2026-01-20 07:04:30,28.69,97.53,11,597.23,2
2026-01-20 07:07:00,33.26,42.5,0,43.06,0
2026-01-20 07:08:00,30.36,53.03,47,0,0
2026-01-20 07:10:00,31.96,54.16,55,4.88,0
2026-01-20 07:10:20,31.88,0,49,9.63,0
2026-01-20 07:10:40,32.91,53.9,43,0,0
2026-01-20 07:11:00,27.63,68.61,31,33.7,1
2026-01-20 07:15:00,26.72,101.72,24,626.51,2
2026-01-20 07:16:00,32.96,55.75,45,0,0
2026-01-20 07:17:00,33.37,38.67,45,9.37,0
2026-01-20 07:17:30,33.8,56.22,42,0,0
2026-01-20 07:18:00,33.68,52.83,44,20.78,0
2026-01-20 07:20:00,22.81,94.12,12,482.75,2
2026-01-20 07:21:00,27.7,80.53,36,99.27,1
2026-01-20 07:25:00,35.6,49.69,45,0,0
2026-01-20 07:29:00,29.89,83.64,0,32.82,1
2026-01-20 07:29:30,32.37,53.08,42,32.27,0
2026-01-20 07:31:00,29.61,0,37,30.07,1
2026-01-20 07:33:00,0,56.57,48,0,0
2026-01-20 07:36:00,31.99,84.84,33,96.31,1
2026-01-20 07:36:30,26.31,91.62,26,256.63,2
2026-01-20 07:37:00,31.72,38.29,51,0,0
2026-01-20 07:37:30,0,57.05,48,0,0
2026-01-20 07:49:00,33.66,58.69,43,11.2,0
2026-01-20 07:49:30,26.65,83.09,43,93.13,1
2026-01-20 07:50:00,35.21,47.36,42,25.27,0
2026-01-20 07:51:00,35,61.02,48,0,0
2026-01-20 07:52:00,23.72,92.55,30,165.21,2
2026-01-20 07:52:30,30.8,89.81,39,85.83,1
2026-01-20 07:53:00,35.53,50.71,49,9.77,0
2026-01-20 07:53:30,28.81,87.09,22,330.34,2
2026-01-20 08:01:00,36.01,60.77,49,0,0
2026-01-20 08:05:00,32.25,61.72,47,0,0
2026-01-20 08:06:00,27.35,92.67,25,141.36,2
2026-01-20 08:08:00,29.87,39.1,51,0,0
2026-01-20 08:12:00,28.19,78.19,35,57.33,1
2026-01-20 08:12:30,26.56,79.52,35,26.19,1
2026-01-20 08:19:00,30.24,77.93,33,40.61,1
2026-01-20 08:23:00,22.12,89.87,26,126.54,2
2026-01-20 08:24:00,35.5,52.14,51,0,0
2026-01-20 08:25:00,23.14,93.71,20,793.05,2
2026-01-20 08:25:20,34.7,43.54,43,14.36,0
2026-01-20 08:25:40,32.14,43.43,41,9.45,0
2026-01-20 08:30:00,31.69,85.53,41,26.26,1
2026-01-20 08:30:30,24.06,102.85,15,0,2
2026-01-20 08:33:00,27.85,87.53,37,61.41,1
2026-01-20 08:35:00,24.34,97.19,10,656.34,2
2026-01-20 08:36:00,23.94,103.09,16,513.25,2
2026-01-20 08:39:00,25.85,91.62,18,561.65,2
2026-01-20 08:42:00,26.54,86.76,38,101.5,1
2026-01-20 08:43:00,0,51.1,44,19.2,0
2026-01-20 08:45:00,26.21,89.18,35,63.94,1
2026-01-20 08:46:00,21.95,82.81,11,659.56,2
2026-01-20 08:47:00,31.15,81.81,41,4.2,1
2026-01-20 08:52:00,31.14,57.38,43,13.05,0
2026-01-20 08:54:00,25.97,75.18,37,89.81,1
2026-01-20 08:55:00,31.35,44.78,44,0,0
2026-01-20 09:01:00,30.36,75.96,33,85.43,1
2026-01-20 09:03:00,27.03,95.17,11,468.8,2
2026-01-20 09:04:00,34.55,59.21,49,34.15,0
2026-01-20 09:07:00,0,95.38,26,359.16,2
2026-01-20 09:08:00,33.79,59.22,50,0,0
2026-01-20 09:09:00,31.65,52.73,49,15.5,0
2026-01-20 09:12:00,30.69,46.16,46,11.93,0
2026-01-20 09:16:00,27.12,71.12,44,5.79,1
2026-01-20 09:16:30,27.68,91.98,18,466.88,2
2026-01-20 09:20:00,34.22,60.05,49,1.95,0
2026-01-20 09:21:00,26.2,90.3,27,305.57,2
2026-01-20 09:22:00,30.58,84.91,29,62.45,1
2026-01-20 09:22:30,23.91,87.4,27,171.21,2
2026-01-20 09:24:00,28.6,74.77,0,36.43,1
2026-01-20 09:26:00,23.66,88.86,21,373.75,2
2026-01-20 09:30:00,33.42,40.2,51,16.52,0
2026-01-20 09:33:00,22.44,94.13,23,390.5,2
2026-01-20 09:35:00,35.44,54.51,50,0,0
2026-01-20 09:36:00,30.43,81.13,36,105.97,1
2026-01-20 09:41:00,0,84.95,31,90.25,2
2026-01-20 09:46:00,26.76,92.76,31,184.99,2
2026-01-20 09:49:00,27.33,89.95,27,328.94,2
2026-01-20 09:50:00,35.04,56.3,47,0,0
2026-01-20 09:51:00,31.94,49.9,51,1.22,0
2026-01-20 09:56:00,33.36,38.91,52,0,0
2026-01-20 09:56:20,30.02,71.12,37,139.71,1
2026-01-20 09:56:40,31.32,44.44,43,19.26,0
2026-01-20 09:57:00,35.63,49.67,50,0,0
2026-01-20 09:59:00,25.99,86.36,38,43.08,1
2026-01-20 09:59:30,31.37,58.25,43,0,0
2026-01-20 10:00:00,30.39,43.83,47,10.94,0
2026-01-20 10:03:00,32.53,44.69,44,0,0
2026-01-20 10:05:00,30.56,53.69,41,12.91,0
2026-01-20 10:06:00,35.73,59.78,46,0,0
2026-01-20 10:08:00,32.04,78.38,35,43.26,1
2026-01-20 10:08:30,28.1,79.44,34,94.43,1
2026-01-20 10:10:00,28.77,88.37,42,107.77,1
2026-01-20 10:11:00,26.17,99.27,13,299.15,2
2026-01-20 10:15:00,34.66,47.58,44,0.95,0
2026-01-20 10:17:00,24.53,92.06,26,127.32,2
2026-01-20 10:17:30,27.59,87.46,7,799.8,2
2026-01-20 10:19:00,26.09,87.08,32,41.46,1
2026-01-20 10:26:00,28.03,80.02,37,55.88,1
2026-01-20 10:37:00,23.2,103.39,14,475.88,2
2026-01-20 10:37:30,27.42,85.67,40,48.66,1
2026-01-20 10:41:00,33.86,55.5,49,0,0
2026-01-20 10:42:00,31.83,40.99,52,0,0
2026-01-20 10:43:00,25.46,85.13,22,489.3,2
2026-01-20 10:43:20,30.51,49.36,53,0,0
2026-01-20 10:43:40,34.36,51.71,44,24.09,0
2026-01-20 10:44:00,25.35,89.92,13,769.42,2
2026-01-20 10:44:30,28.18,84.13,21,488.36,2
2026-01-20 10:46:00,31.87,41.12,47,47.62,0
2026-01-20 10:46:30,26.21,89.6,10,0,2
2026-01-20 10:49:00,30.9,61.95,46,0,0
2026-01-20 10:49:30,31.55,50.64,51,0,0
2026-01-20 10:50:00,28.86,70.18,34,118.98,1
2026-01-20 10:56:00,24.48,91.79,34,217.14,2
2026-01-20 10:56:30,35.15,47.17,0,5.83,0
2026-01-20 10:58:00,30.85,76.06,36,50.67,1
2026-01-20 11:00:00,35.29,48.74,50,40.49,0
2026-01-20 11:00:30,24.74,83.97,24,117.37,2
2026-01-20 11:02:00,27.89,70.73,41,29.92,1
2026-01-20 11:03:00,31.11,44.17,45,44.06,0
2026-01-20 11:04:00,26.53,90.41,43,60.65,1
2026-01-20 11:08:00,30.45,75.87,42,108.16,1
2026-01-20 11:09:00,34.51,55.22,45,17.86,0
2026-01-20 11:10:00,31.38,55.12,45,8.81,0
2026-01-20 11:12:00,25.69,85.83,23,0,2
2026-01-20 11:13:00,29.58,79.2,39,76.14,1
2026-01-20 11:17:00,34.71,52.46,48,19.32,0
2026-01-20 11:20:00,32.41,86.04,41,49.43,1
2026-01-20 11:25:00,30.48,45.08,44,0,0
2026-01-20 11:25:30,28.08,82.41,36,67.02,1
2026-01-20 11:33:00,24.88,90.59,16,285.56,2
2026-01-20 11:39:00,34.8,51.5,43,12.64,0
2026-01-20 11:46:00,35.64,41.94,51,18.35,0
2026-01-20 11:46:30,29.02,81.43,35,49.39,1
2026-01-20 11:48:00,31.22,52.75,44,8.93,0
2026-01-20 11:48:30,32.08,69.59,40,75.6,1
2026-01-20 11:49:00,28.06,90.95,36,74.31,1
2026-01-20 11:52:00,27.68,98.48,24,382.49,2
2026-01-20 11:54:00,22.59,92.11,10,665.21,2
2026-01-20 11:56:00,28.4,84.52,36,98.67,1
2026-01-20 11:58:00,28.21,85.22,35,93.56,1
2026-01-20 11:58:30,32.93,0,47,11.29,0
2026-01-20 12:04:00,25.62,88.43,22,461.92,2
2026-01-20 12:06:00,32.93,56.41,53,33.9,0
2026-01-20 12:07:00,34.73,61.18,45,0,0
2026-01-20 12:07:30,30.62,49.18,47,21.25,0
2026-01-20 12:08:00,25.94,97.34,15,674.78,2
2026-01-20 12:09:00,27.13,96.46,22,153.96,2
2026-01-20 12:09:30,32.76,46.42,44,26.46,0
2026-01-20 12:13:00,34.6,55.15,47,4.92,0
2026-01-20 12:13:30,25.04,91.43,11,685.02,2
2026-01-20 12:15:00,31.43,71.54,44,94.72,1
2026-01-20 12:17:00,26.87,74.15,42,35.43,1
2026-01-20 12:19:00,27.95,71.39,44,57.45,1
2026-01-20 12:21:00,24.22,96.54,17,533.24,2
2026-01-20 12:21:30,35.19,53.73,46,7.24,0
2026-01-20 12:22:00,26.73,87.3,36,65.56,1
2026-01-20 12:26:00,31.21,55.05,47,0,0
2026-01-20 12:28:00,30.51,82.69,35,64.11,1
2026-01-20 12:28:30,32.45,58.59,47,0,0
2026-01-20 12:31:00,32.06,79.18,45,38.85,1
2026-01-20 12:35:00,0,80.96,39,34.93,1
2026-01-20 12:36:00,32.08,48.63,50,0,0
2026-01-20 12:37:00,34.14,56.43,45,5.82,0
2026-01-20 12:39:00,22.32,92.63,15,590.97,2
2026-01-20 12:45:00,27.19,87.5,21,641.29,2
2026-01-20 12:45:30,27.57,87.71,25,371.37,2
2026-01-20 12:47:00,32.05,84.53,45,75.31,1
2026-01-20 12:50:00,31.2,87.15,0,63.08,1
2026-01-20 12:57:00,25.04,97.46,23,361.9,2
2026-01-20 12:59:00,30.72,53.14,52,0,0
2026-01-20 13:03:00,28,77.83,40,119.27,1
2026-01-20 13:03:30,25.59,83.39,26,574.27,2
2026-01-20 13:07:00,27.9,100.74,21,250.4,2
2026-01-20 13:10:00,30.41,89.38,32,101.98,1
2026-01-20 13:22:00,35.14,52.19,46,16.18,0
2026-01-20 13:24:00,35.5,58.44,50,0,0
2026-01-20 13:31:00,25.7,73,42,37.35,1
2026-01-20 13:35:00,34.56,59.37,44,0,0
2026-01-20 13:37:00,25.75,95.3,20,300.49,2
2026-01-20 13:38:00,25.72,77.26,35,83.17,1
2026-01-20 13:40:00,27.44,73.55,37,61.98,1
2026-01-20 13:41:00,26.75,87.14,36,0,1
2026-01-20 13:42:00,31.02,41.2,47,29.78,0
2026-01-20 13:43:00,27.13,95.45,0,76.08,1
2026-01-20 13:48:00,30.38,87.08,44,36.54,1
2026-01-20 13:48:30,32.54,83.76,33,15.38,1
2026-01-20 13:50:00,33.88,52.17,49,0,0
2026-01-20 13:51:00,26.73,86.93,31,431.25,2
2026-01-20 13:53:00,31.42,61.19,48,0,0
2026-01-20 13:53:30,23.41,93.64,13,668.02,2
2026-01-20 13:56:00,28.27,0,42,104.34,1
2026-01-20 13:58:00,24.05,99.06,18,0,2
2026-01-20 14:00:00,35,40.59,49,21.13,0
2026-01-20 14:02:00,0,41.53,48,0,0
2026-01-20 14:04:00,23.46,93.18,24,359.64,2
2026-01-20 14:09:00,23.38,86.94,22,254.71,2
2026-01-20 14:11:00,33.49,56.38,50,0,0
2026-01-20 14:14:00,26.57,75.18,41,78.78,1
2026-01-20 14:15:00,26.14,91.85,29,200.5,2
2026-01-20 14:16:00,31.93,45.58,42,0.04,0
2026-01-20 14:21:00,26.74,77.48,39,76.89,1
2026-01-20 14:22:00,33.24,0,42,0,0
2026-01-20 14:25:00,29.73,86.27,39,80.11,1
2026-01-20 14:27:00,24.02,92.13,19,339.97,2
2026-01-20 14:31:00,34.6,44.68,45,0,0
2026-01-20 14:32:00,30.14,48.57,44,19.74,0
2026-01-20 14:34:00,22.4,93.31,14,171.4,2
2026-01-20 14:34:30,30.73,44.19,45,0,0
2026-01-20 14:38:00,32.53,0,46,0,0
2026-01-20 14:40:00,26.44,91.64,29,335.97,2
2026-01-20 14:53:00,27.12,83.02,42,81.04,1
2026-01-20 14:54:00,32,47,45,0,0
2026-01-20 14:55:00,22.04,91.22,10,754.18,2
2026-01-20 14:58:00,29.43,76.47,37,22.29,1
2026-01-20 15:02:00,35.18,53.08,43,23.11,0
2026-01-20 15:03:00,26.78,86.71,20,148.89,2
2026-01-20 15:03:30,22.96,89.19,0,493.54,2
2026-01-20 15:04:00,27.78,77.98,37,83.2,1
2026-01-20 15:04:20,29.97,59.79,53,26.51,0
2026-01-20 15:04:40,30.33,45.52,49,0,0
2026-01-20 15:05:00,23.41,100.73,13,662.41,2
2026-01-20 15:09:00,33.48,48.27,44,1.09,0
2026-01-20 15:10:00,29.74,82.87,45,53.95,1
2026-01-20 15:12:00,31.12,83.24,40,55.17,1
2026-01-20 15:14:00,22.25,87.94,13,681.74,2
2026-01-20 15:23:00,28.56,0,38,82.18,1
2026-01-20 15:24:00,32.01,48.44,50,0,0
2026-01-20 15:25:00,30.88,82.06,36,100.96,1
2026-01-20 15:26:00,34.36,52.94,49,0,0
2026-01-20 15:30:00,24.83,99.65,15,653.94,2
2026-01-20 15:32:00,27.49,95.41,16,667.03,2
2026-01-20 15:32:30,33.47,44.71,45,0,0
2026-01-20 15:36:00,34.64,57.45,47,0,0
2026-01-20 15:38:00,21.99,101.29,20,472.18,2
2026-01-20 15:38:30,30.14,41.1,50,19.51,0
2026-01-20 15:40:00,27.65,93.5,24,128.7,2
2026-01-20 15:40:30,34.52,55.2,49,33,0
2026-01-20 15:41:00,26.97,69.89,40,92.5,1
2026-01-20 15:41:30,27.77,73.64,41,49.18,1
2026-01-20 15:43:00,23.52,91.1,17,405.58,2
2026-01-20 15:44:00,35.54,40.34,46,6.02,0
2026-01-20 15:47:00,31.28,57.4,48,19.06,0
2026-01-20 15:49:00,26.06,74.85,48,34.53,1
2026-01-20 15:54:00,26.02,93.22,27,320.8,2
2026-01-20 15:54:30,28.07,66.73,41,17.42,1
2026-01-20 15:56:00,28.48,0,40,102.11,1
2026-01-20 15:56:30,32.46,58.06,43,5.51,0
2026-01-20 16:01:00,23.99,90.12,29,557.58,2
2026-01-20 16:01:30,31.9,72.86,44,51,1
2026-01-20 16:02:00,32.5,49.13,49,5.76,0
2026-01-20 16:04:00,27.94,82.9,0,98.84,1
2026-01-20 16:05:00,25.67,96.75,8,756.64,2
2026-01-20 16:06:00,34.42,0,49,8.2,0
2026-01-20 16:08:00,29.96,49.45,51,0,0
2026-01-20 16:09:00,22.8,97.38,23,0,2
2026-01-20 16:10:00,29.66,80.19,40,56.74,1
2026-01-20 16:21:00,23.76,90.72,21,304.92,2
2026-01-20 16:27:00,28.01,86.7,42,15.83,1
2026-01-20 16:29:00,35.45,55.86,52,7.67,0
2026-01-20 16:30:00,35.63,44.56,39,21.66,0
2026-01-20 16:31:00,23.31,0,25,266.17,2
2026-01-20 16:31:30,35.35,46.53,52,0,0
2026-01-20 16:33:00,29.97,70.97,35,4.84,1
2026-01-20 16:34:00,33.32,54.32,46,0,0
2026-01-20 16:40:00,23.19,100.89,30,274.19,2
2026-01-20 16:40:30,33.05,53.66,48,0,0
2026-01-20 16:41:00,30.58,46.39,44,30.09,0
2026-01-20 16:41:30,23.83,90.08,22,530.76,2
2026-01-20 16:42:00,32.41,49.81,47,0,0
2026-01-20 16:45:00,34.78,42.57,41,1.99,0
2026-01-20 16:45:30,28.4,66.94,33,122.64,1
2026-01-20 16:46:00,29.2,70.37,44,28.88,1
2026-01-20 16:50:00,26.48,90.37,35,481,2
2026-01-20 16:50:20,34.63,60.43,53,1.43,0
2026-01-20 16:50:40,28.64,89.04,33,112.21,1
2026-01-20 16:52:00,34.99,57.86,44,15.48,0
2026-01-20 16:58:00,27.24,80.28,42,58.41,1
2026-01-20 16:59:00,31.33,54.87,48,27.37,0
2026-01-20 16:59:20,27.98,88.48,37,94.3,1
2026-01-20 16:59:40,23.06,96.18,15,329.55,2
2026-01-20 17:02:00,32.17,67.13,45,0,0
2026-01-20 17:06:00,27.83,93.69,31,615.74,2
2026-01-20 17:07:00,25.46,87.65,22,228.77,2
2026-01-20 17:08:00,34.6,57.09,45,34.77,0
2026-01-20 17:12:00,33.5,46.72,46,0,0
2026-01-20 17:14:00,26.73,88.15,41,27.09,1
2026-01-20 17:16:00,32.65,38.63,46,0,0
2026-01-20 17:18:00,33.08,56.8,48,16.08,0
2026-01-20 17:20:00,28.27,74.05,41,19.1,1
2026-01-20 17:23:00,33.03,59.17,51,0.09,0
2026-01-20 17:24:00,22.41,89.19,21,730.61,2
2026-01-20 17:28:00,25.03,96.66,17,571.74,2
2026-01-20 17:28:30,32,51.61,49,21.01,0
2026-01-20 17:30:00,33.7,48.2,47,9.64,0
2026-01-20 17:31:00,25.75,99.56,22,547.79,2
2026-01-20 17:33:00,31.31,51.44,45,32.97,0
2026-01-20 17:34:00,0,0,42,38.6,1
