timestamp,satellite_prn,satellite_elevation_deg,satellite_azimuth_deg,temperature_C,humidity_%,rain_intensity_mm_hr,rain_sensor_value,snr_measured_dbhz,label
2026-01-24 12:19,10.35,52.01,157.46,34.36,52.28,0.0,0.0,44,0
2026-02-09 18:56,16.81,83.29,87.5,31.13,48.37,0.27,5.53,45,0
2026-02-03 00:37,17.84,48.62,328.79,34.93,46.14,0.0,1.14,42,0
2026-01-26 16:33,20.63,48.4,165.81,34.25,47.59,0.12,14.3,39,0
2026-01-22 17:33,9.93,74.25,305.88,30.44,83.56,0.93,30.47,41,1
2026-02-09 04:47,26.19,0.0,311.58,35.69,57.8,0.0,23.3,50,0
2026-02-05 17:56,24.87,21.46,318.27,26.23,99.84,12.16,278.6,15,2
2026-02-20 20:13,9.08,69.85,305.59,34.41,55.69,0.91,13.78,53,0
2026-01-27 21:05,0.0,46.24,140.8,33.3,55.17,0.0,0.0,53,0
2026-02-23 13:47,26.97,60.41,27.47,25.26,83.73,15.78,336.86,28,2
2026-03-03 19:07,27.11,59.92,27.41,30.56,62.34,0.0,0.0,52,0
2026-02-20 16:44,11.99,14.81,262.08,22.84,89.34,10.51,206.59,20,2
2026-01-23 11:54,21.03,57.4,275.91,22.57,88.69,24.14,511.91,17,2
2026-01-22 14:27,2.14,22.42,132.83,31.12,47.14,0.0,4.45,52,0
2026-02-13 22:52,3.91,11.73,190.55,28.51,83.72,2.98,97.79,40,1
2026-01-20 05:19,20.14,85.28,121.72,28.45,85.98,1.71,7.92,38,1
2026-02-08 22:48,17.98,83.13,285.18,30.49,77.91,2.01,34.51,42,1
2026-03-04 20:30,31.46,68.07,250.84,30.2,88.2,4.81,73.7,43,1
2026-02-16 13:00,8.53,18.98,252.33,28.22,90.52,4.0,82.07,41,1
2026-02-03 23:15,19.35,22.72,128.94,30.63,56.68,0.0,11.88,49,0
2026-02-03 16:07,7.37,35.6,33.17,27.85,76.4,4.47,75.62,44,1
2026-03-01 19:25,13.58,27.64,225.83,28.82,78.38,3.5,57.63,39,1
2026-01-25 03:50,32.65,14.91,175.06,32.44,45.73,0.55,0.0,44,0
2026-01-31 05:25,17.35,37.25,340.95,29.13,86.41,4.32,73.5,40,1
2026-03-02 18:40,8.27,35.62,145.95,31.81,43.76,0.0,17.83,43,0
2026-01-22 08:33,9.01,41.65,357.51,27.57,94.82,24.19,482.39,27,2
2026-02-20 13:35,12.54,12.82,268.51,21.89,100.14,35.26,725.52,5,2
2026-02-09 11:12,14.74,25.89,350.3,29.07,39.09,0.66,17.43,45,0
2026-02-24 20:35,21.05,22.01,278.27,28.92,0.0,3.78,93.26,37,1
2026-02-04 16:55,26.77,22.66,81.8,31.49,77.8,0.0,23.87,38,1
2026-01-21 08:40,30.28,71.24,84.65,31.74,71.74,4.92,84.59,38,1
2026-02-22 06:24,16.03,18.54,0.0,33.19,48.36,0.0,0.0,48,0
2026-02-03 01:15,26.51,84.75,83.64,31.71,41.32,0.91,23.94,50,0
2026-02-08 14:54,15.22,72.9,89.13,33.3,42.23,0.89,10.98,0,0
2026-03-03 12:37,8.57,50.95,325.86,26.35,91.29,29.45,587.61,19,2
2026-02-13 20:27,6.72,79.08,241.79,23.56,91.09,28.41,569.99,19,2
2026-02-21 06:26,23.64,54.02,158.83,24.49,93.47,17.62,326.92,23,2
2026-02-06 13:24,23.85,75.41,247.33,31.03,41.78,0.0,3.98,53,0
2026-02-21 17:54,18.38,47.67,36.26,35.44,57.4,0.31,6.24,50,0
2026-02-09 16:19,26.43,19.97,0.0,31.29,35.3,0.0,0.0,52,0
2026-01-22 00:16,17.11,42.64,105.26,29.86,90.42,1.87,5.49,36,1
2026-01-25 15:52,11.6,43.1,285.19,29.56,80.55,2.39,46.46,38,1
2026-01-30 06:18,21.26,18.16,170.17,31.48,50.38,0.0,0.0,51,0
2026-02-17 05:02,3.09,20.74,100.78,32.34,87.66,4.65,73.66,39,1
2026-02-11 05:48,9.12,82.65,290.9,32.12,47.33,0.0,0.0,51,0
2026-02-09 03:40,21.36,67.18,174.56,30.09,87.61,0.68,17.81,46,1
2026-03-02 02:36,7.43,10.34,230.98,30.83,71.75,1.9,40.69,33,1
2026-02-01 04:32,29.39,28.98,298.39,25.98,90.35,9.03,171.37,38,2
2026-03-04 20:43,2.24,63.41,227.35,31.52,73.56,1.24,40.85,41,1
2026-02-12 20:59,24.14,32.43,11.63,31.16,37.0,0.0,0.0,44,0
2026-02-01 11:39,9.12,62.88,0.0,25.53,92.24,10.8,239.83,34,2
2026-02-25 03:51,14.16,84.6,169.73,26.86,85.2,23.75,484.23,31,2
2026-02-05 02:08,26.69,81.51,30.54,30.53,40.18,0.0,0.0,50,0
2026-02-09 18:37,14.11,65.43,311.55,21.46,90.13,23.89,497.86,25,2
2026-02-22 12:24,15.14,65.81,17.08,29.69,50.09,0.0,8.04,49,0
2026-01-21 12:36,26.67,85.65,178.12,27.05,68.05,3.45,83.75,39,1
2026-02-11 12:03,8.86,80.11,48.54,24.02,90.81,14.66,318.25,18,2
2026-02-06 03:27,11.22,55.28,43.09,24.59,86.18,19.19,410.92,20,2
2026-02-06 19:08,19.45,13.88,26.09,30.4,68.01,2.19,55.78,38,1
2026-02-14 15:22,22.3,59.81,236.34,30.99,74.54,0.0,96.97,43,1
2026-02-05 20:26,3.55,6.77,100.08,24.31,94.63,9.76,0.0,30,2
2026-02-16 09:55,32.36,75.79,154.41,25.58,94.49,21.83,403.5,22,2
2026-03-04 11:42,25.54,34.05,66.16,30.9,35.61,0.0,0.0,0,0
2026-02-26 03:55,26.62,42.41,158.07,29.73,91.58,3.53,89.12,32,1
2026-02-25 07:15,14.45,33.58,154.27,31.83,46.51,0.41,6.86,49,0
2026-01-30 10:43,6.19,44.57,335.28,29.61,78.5,1.0,31.28,40,1
2026-02-06 22:13,18.38,43.42,261.7,33.91,34.04,0.37,14.45,45,0
2026-01-23 05:15,0.0,6.46,33.3,31.87,45.58,0.0,0.2,51,0
2026-01-28 16:31,17.89,41.52,116.95,32.31,58.13,0.15,8.39,50,0
2026-01-22 05:58,9.65,24.47,198.79,29.49,77.52,2.85,40.23,42,1
2026-02-08 20:20,9.59,70.82,356.29,24.13,88.15,35.29,713.88,15,2
2026-02-04 12:44,12.62,79.4,41.39,34.35,47.96,0.0,16.95,50,0
2026-02-10 18:46,27.96,83.16,119.8,25.71,93.07,31.16,615.52,12,2
2026-02-20 23:17,12.16,75.44,279.55,32.63,56.98,0.0,0.0,54,0
2026-02-24 22:08,28.13,61.64,0.0,34.03,49.0,0.21,0.6,49,0
2026-02-08 17:39,5.38,62.95,177.77,24.37,81.51,33.11,662.54,0,2
2026-02-11 17:15,28.01,65.93,97.29,23.58,88.49,32.22,581.9,11,2
2026-02-17 02:47,27.67,67.62,76.9,27.48,82.19,4.57,85.0,41,1
2026-02-04 21:46,19.88,55.63,251.69,27.38,90.38,14.71,291.29,28,2
2026-01-30 00:02,10.26,66.13,124.34,33.75,54.66,0.32,0.0,45,0
2026-02-10 23:29,19.29,26.19,253.23,26.42,101.6,7.36,160.82,16,2
2026-02-28 14:13,3.6,44.78,100.01,34.4,49.83,0.0,0.0,51,0
2026-02-03 21:55,30.5,18.08,245.69,32.86,50.8,0.0,11.46,49,0
2026-01-20 11:09,22.22,12.29,135.6,30.3,0.0,0.61,28.11,34,1
2026-01-28 02:08,14.9,31.9,14.7,31.85,54.87,0.33,12.04,43,0
2026-02-25 10:05,29.33,22.5,73.53,23.82,88.34,27.22,532.11,21,2
2026-02-02 12:47,13.22,24.75,86.38,0.0,77.96,3.83,0.0,41,1
2026-03-04 22:07,14.97,31.0,108.79,34.71,61.74,0.0,0.0,45,0
2026-02-17 07:39,31.61,70.33,101.44,27.85,85.66,0.0,0.0,45,1
2026-01-29 17:11,30.3,82.99,153.04,35.85,49.77,0.13,23.57,47,0
2026-01-23 22:55,20.79,69.74,356.14,35.3,45.36,1.0,7.09,46,0
2026-02-25 16:12,3.4,64.93,300.35,27.84,84.78,2.65,70.78,35,1
2026-02-18 13:04,4.1,65.7,170.45,26.54,68.79,1.9,55.09,0,1
2026-02-14 11:47,30.42,34.73,76.0,28.69,97.53,30.55,597.23,11,2
2026-03-01 07:37,4.08,46.52,344.69,33.26,42.5,0.0,43.06,0,0
2026-02-01 16:19,11.18,55.01,164.63,30.36,53.03,0.0,0.0,47,0
2026-01-21 02:06,17.59,72.39,96.12,31.96,54.16,0.46,4.88,55,0
2026-02-06 22:55,28.07,37.87,150.86,31.88,0.0,0.0,9.63,49,0
2026-02-08 01:18,21.03,64.91,50.24,32.91,53.9,0.0,0.0,43,0
2026-02-07 10:00,0.0,58.61,275.22,27.63,68.61,1.29,33.7,31,1
2026-02-12 12:16,15.17,65.19,20.68,26.72,101.72,31.67,626.51,24,2
2026-01-22 05:11,7.26,12.23,278.28,32.96,55.75,0.0,0.0,45,0
2026-02-06 13:42,8.5,0.0,359.88,33.37,38.67,0.0,9.37,45,0
2026-02-02 12:42,15.49,19.38,203.72,33.8,56.22,0.0,0.0,42,0
2026-02-21 00:23,3.36,14.28,184.58,33.68,52.83,0.18,20.78,44,0
2026-02-23 10:57,0.57,73.76,118.62,22.81,94.12,23.96,482.75,12,2
2026-03-03 12:06,8.24,63.72,351.69,27.7,80.53,4.4,99.27,36,1
2026-02-11 12:31,0.0,19.52,100.56,35.6,49.69,0.05,0.0,45,0
2026-01-22 05:26,5.24,51.17,24.16,29.89,83.64,1.26,32.82,0,1
2026-02-07 04:21,21.78,12.62,23.25,32.37,53.08,0.61,32.27,42,0
2026-02-20 06:43,23.26,10.57,180.87,29.61,0.0,3.3,30.07,37,1
2026-01-31 10:39,26.53,63.97,28.71,0.0,56.57,0.0,0.0,48,0
2026-01-20 16:58,6.44,5.96,205.22,31.99,84.84,4.07,96.31,33,1
2026-02-12 14:08,17.3,52.87,247.82,26.31,91.62,12.86,256.63,26,2
2026-01-31 01:00,18.85,59.28,159.99,31.72,38.29,0.26,0.0,51,0
2026-02-08 18:20,20.35,26.9,270.15,0.0,57.05,0.36,0.0,48,0
2026-01-21 00:57,30.64,55.57,225.65,33.66,58.69,0.0,11.2,43,0
2026-02-09 08:09,26.89,55.17,218.12,26.65,83.09,5.14,93.13,43,1
2026-01-23 04:54,20.78,20.36,323.02,35.21,47.36,0.0,25.27,42,0
2026-02-25 07:30,2.04,16.36,317.86,35.0,61.02,0.0,0.0,48,0
2026-01-26 04:10,19.07,5.44,180.4,23.72,92.55,8.74,165.21,30,2
2026-02-18 10:26,26.14,9.98,157.93,30.8,89.81,3.8,85.83,39,1
2026-01-20 23:53,6.32,10.77,344.14,35.53,50.71,0.07,9.77,49,0
2026-02-28 06:56,25.25,30.84,199.38,28.81,87.09,16.45,330.34,22,2
2026-02-08 08:37,21.78,71.48,0.0,36.01,60.77,0.84,0.0,49,0
2026-01-28 04:08,13.5,56.78,34.42,32.25,61.72,0.0,0.0,47,0
2026-01-23 21:15,24.03,80.52,224.8,27.35,92.67,5.91,141.36,25,2
2026-02-14 08:19,29.5,31.55,221.3,29.87,39.1,0.0,0.0,51,0
2026-01-25 14:59,13.67,35.72,68.75,28.19,78.19,4.63,57.33,35,1
2026-02-23 00:18,13.31,39.86,266.65,26.56,79.52,1.32,26.19,35,1
2026-02-24 01:02,3.66,69.65,71.31,30.24,77.93,1.42,40.61,33,1
2026-01-23 20:36,15.1,23.07,297.82,22.12,89.87,6.35,126.54,26,2
2026-02-08 16:15,5.02,38.42,191.1,35.5,52.14,1.1,0.0,51,0
2026-01-28 05:48,24.7,32.01,87.64,23.14,93.71,39.25,793.05,20,2
2026-02-16 17:01,13.99,76.07,39.09,34.7,43.54,0.0,14.36,43,0
2026-02-04 10:30,16.29,9.61,173.19,32.14,43.43,0.0,9.45,41,0
2026-01-24 13:25,0.0,71.1,208.12,31.69,85.53,2.74,26.26,41,1
2026-02-14 15:16,4.09,54.2,253.3,24.06,102.85,24.25,0.0,15,2
2026-02-02 15:07,7.69,34.82,196.49,27.85,87.53,2.14,61.41,37,1
2026-02-20 16:11,10.39,65.35,339.2,24.34,97.19,33.28,656.34,10,2
2026-01-23 16:09,16.63,29.54,294.86,23.94,103.09,26.57,513.25,16,2
2026-02-25 16:20,29.95,84.39,287.19,25.85,91.62,27.88,561.65,18,2
2026-03-04 02:11,10.23,73.34,336.21,26.54,86.76,4.25,101.5,38,1
2026-02-18 10:05,20.4,16.15,310.82,0.0,51.1,0.0,19.2,44,0
2026-02-10 02:08,31.44,81.33,50.12,26.21,89.18,4.18,63.94,35,1
2026-01-26 22:20,2.85,52.26,41.9,21.95,82.81,32.42,659.56,11,2
2026-01-31 09:48,13.78,41.85,76.53,31.15,81.81,0.39,4.2,41,1
2026-02-26 13:05,19.7,25.79,282.59,31.14,57.38,0.24,13.05,43,0
2026-02-15 03:46,15.82,11.99,0.0,25.97,75.18,3.48,89.81,37,1
2026-01-26 01:58,15.19,0.0,127.89,31.35,44.78,0.0,0.0,44,0
2026-03-04 00:51,7.42,3.46,312.66,30.36,75.96,4.3,85.43,33,1
2026-02-24 00:46,23.42,66.29,169.5,27.03,95.17,23.82,468.8,11,2
2026-02-14 23:03,16.98,17.95,202.91,34.55,59.21,0.0,34.15,49,0
2026-02-06 13:38,11.48,22.54,111.23,0.0,95.38,18.39,359.16,26,2
2026-02-25 23:44,30.3,11.49,25.31,33.79,59.22,0.44,0.0,50,0
2026-02-07 17:16,1.78,31.56,328.46,31.65,52.73,0.0,15.5,49,0
2026-01-26 20:54,11.59,61.48,44.36,30.69,46.16,0.09,11.93,46,0
2026-02-03 07:17,30.67,24.37,228.22,27.12,71.12,1.2,5.79,44,1
2026-03-02 06:09,8.21,27.95,236.1,27.68,91.98,23.86,466.88,18,2
2026-02-17 01:48,19.36,18.2,0.0,34.22,60.05,0.0,1.95,49,0
2026-02-08 02:39,21.57,11.2,0.0,26.2,90.3,15.97,305.57,27,2
2026-01-30 15:25,30.97,66.88,241.71,30.58,84.91,4.54,62.45,29,1
2026-02-26 09:43,13.5,20.5,330.09,23.91,87.4,7.76,171.21,27,2
2026-02-04 12:46,29.53,77.88,198.27,28.6,74.77,2.51,36.43,0,1
2026-02-21 20:02,27.88,16.25,315.08,23.66,88.86,20.55,373.75,21,2
2026-02-15 13:04,5.42,0.0,120.37,33.42,40.2,0.0,16.52,51,0
2026-01-22 10:50,25.76,6.43,24.46,22.44,94.13,18.38,390.5,23,2
2026-02-06 09:55,21.34,21.22,337.2,35.44,54.51,0.23,0.0,50,0
2026-02-26 05:08,17.8,77.18,61.4,30.43,81.13,4.01,105.97,36,1
2026-03-03 01:37,5.06,29.32,292.79,0.0,84.95,4.94,90.25,31,2
2026-02-08 04:32,3.67,51.35,27.31,26.76,92.76,10.65,184.99,31,2
2026-01-25 01:57,3.34,62.78,197.75,27.33,89.95,15.82,328.94,27,2
2026-02-22 22:15,29.54,35.54,304.87,35.04,56.3,0.0,0.0,47,0
2026-02-22 01:19,3.0,38.45,90.95,31.94,49.9,0.77,1.22,51,0
2026-01-31 18:51,25.55,75.81,62.14,33.36,38.91,0.0,0.0,52,0
2026-02-10 17:32,23.21,56.63,36.69,30.02,71.12,4.86,139.71,37,1
2026-02-23 03:37,12.09,64.69,308.94,31.32,44.44,0.45,19.26,43,0
2026-02-27 01:13,22.72,67.05,190.11,35.63,49.67,0.0,0.0,50,0
2026-01-24 16:23,9.03,16.91,183.94,25.99,86.36,0.57,43.08,38,1
2026-02-13 03:16,5.82,52.18,87.44,31.37,58.25,0.5,0.0,43,0
2026-02-21 15:51,15.05,73.53,238.09,30.39,43.83,0.0,10.94,47,0
2026-01-20 21:43,28.31,7.22,123.03,32.53,44.69,0.0,0.0,44,0
2026-01-24 16:21,19.73,33.61,310.02,30.56,53.69,0.53,12.91,41,0
2026-02-23 21:51,16.43,23.97,218.99,35.73,59.78,0.0,0.0,46,0
2026-02-20 08:29,13.99,11.98,192.04,32.04,78.38,0.0,43.26,35,1
2026-02-23 04:37,31.1,2.88,132.65,28.1,79.44,5.72,94.43,34,1
2026-02-27 13:24,12.93,30.21,191.58,28.77,88.37,4.05,107.77,42,1
2026-02-13 20:28,12.27,17.89,7.35,26.17,99.27,15.77,299.15,13,2
2026-01-20 22:06,4.13,22.91,81.1,34.66,47.58,0.05,0.95,44,0
2026-01-31 19:31,18.71,18.76,88.53,24.53,92.06,5.59,127.32,26,2
2026-01-28 19:04,26.9,56.4,283.35,27.59,87.46,39.56,799.8,7,2
2026-02-18 05:38,6.77,7.11,270.08,26.09,87.08,1.45,41.46,32,1
2026-02-09 02:49,3.73,84.63,266.75,28.03,80.02,4.3,55.88,37,1
2026-02-13 10:54,29.39,33.32,242.16,23.2,103.39,23.92,475.88,14,2
2026-02-23 16:44,4.17,26.51,44.25,27.42,85.67,2.75,48.66,40,1
2026-02-25 21:44,21.68,59.37,0.0,33.86,55.5,0.2,0.0,49,0
2026-01-29 14:23,0.0,73.43,48.39,31.83,40.99,0.0,0.0,52,0
2026-01-31 20:20,32.14,81.79,274.99,25.46,85.13,24.67,489.3,22,2
2026-02-08 21:14,1.38,46.99,82.59,30.51,49.36,0.0,0.0,53,0
2026-01-28 06:50,20.29,19.95,68.13,34.36,51.71,2.18,24.09,44,0
2026-01-22 09:18,29.62,17.6,109.92,25.35,89.92,38.44,769.42,13,2
2026-01-25 02:17,23.74,0.0,0.0,28.18,84.13,23.94,488.36,21,2
2026-02-03 07:10,10.35,56.53,298.7,31.87,41.12,0.17,47.62,47,0
2026-03-04 01:30,19.28,43.18,137.05,26.21,89.6,34.8,0.0,10,2
2026-01-27 18:38,24.99,72.6,105.21,30.9,61.95,0.06,0.0,46,0
2026-02-19 11:41,7.05,40.52,143.75,31.55,50.64,0.89,0.0,51,0
2026-02-14 23:20,2.59,69.59,340.16,28.86,70.18,5.08,118.98,34,1
2026-01-31 23:44,21.73,72.44,92.05,24.48,91.79,10.41,217.14,34,2
2026-02-03 20:08,31.25,26.37,201.12,35.15,47.17,0.0,5.83,0,0
2026-03-02 22:43,26.91,0.0,292.15,30.85,76.06,3.98,50.67,36,1
2026-02-07 21:06,12.9,57.23,266.92,35.29,48.74,0.0,40.49,50,0
2026-03-01 17:55,17.51,40.25,322.98,24.74,83.97,7.27,117.37,24,2
2026-02-04 20:07,9.38,43.65,302.76,27.89,70.73,1.69,29.92,41,1
2026-02-02 02:57,9.38,35.64,328.37,31.11,44.17,0.0,44.06,45,0
2026-02-04 08:00,2.6,38.22,85.18,26.53,90.41,1.18,60.65,43,1
2026-02-26 06:03,24.01,5.41,170.34,30.45,75.87,3.41,108.16,42,1
2026-02-12 10:51,19.32,40.2,291.5,34.51,55.22,0.0,17.86,45,0
2026-01-25 14:02,0.86,46.85,89.51,31.38,55.12,0.21,8.81,45,0
2026-01-28 12:46,30.15,31.44,316.19,25.69,85.83,28.66,0.0,23,2
2026-02-01 01:57,14.94,63.08,134.35,29.58,79.2,3.37,76.14,39,1
2026-03-04 16:36,31.04,40.71,97.29,34.71,52.46,0.09,19.32,48,0
