Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,Mean_SNR,SNR_Var,Sat_Count,WeatherLabel
131000,30.64091877,54.45475504,34,0,53,49,50,50,50,49,48,49.85714286,2.476190476,7,0
62500,32.95130912,59.28156833,68,0,49,51,51,51,49,49,47,49.57142857,2.285714286,7,0
2300,32.93089475,41.04515759,83,0,50,47,50,49,49,48,52,49.28571429,2.571428571,7,0
53100,30.41468337,66.80515999,560,1,44,41,39,38,38,44,38,40.5,6.857142857,8,1
187000,36.54228264,47.90518631,21,0,50,51,50,51,53,50,49,50.57142857,1.619047619,7,0
43700,24.98749675,84.61616269,937,1,32,33,34,33,35,34,35,31,88,11,2
148800,27.85420061,64.64423324,304,1,42,41,42,45,43,42,41,42.25,1.642857143,8,1
117000,34.93541535,53.10347429,43,0,48,49,50,48,50,51,48,49.14285714,1.476190476,7,0
198000,25.67159134,80.72320661,901,1,36,31,33,34,35,31,38,31,48,11,2
11800,30.04275541,63.34939992,374,1,46,42,42,42,41,42,38,42.125,5.267857143,8,1
101800,28.92904023,69.56941242,497,1,41,42,45,43,38,39,41,41.875,7.553571429,8,1
119400,30.36593627,47.08849898,20,0,48,49,49,51,50,51,48,49.42857143,1.619047619,7,0
24500,27.43704543,76.89091903,344,1,40,45,40,42,42,41,42,41.75,2.5,8,1
87300,26.9298319,79.64737532,519,1,40,41,40,39,41,42,39,40.5,1.428571429,8,1
179800,27.14995254,84.72283688,921,1,34,35,34,34,34,34,30,30,49,11,2
54900,28.21241776,78.80989169,493,1,40,39,42,40,40,42,41,40.375,1.410714286,8,1
115400,29.12966388,76.835765,473,1,40,38,42,38,45,40,37,40,6.571428571,8,1
9300,34.49021758,50.46659262,93,0,50,50,49,49,50,52,49,49.85714286,1.142857143,7,0
7700,28.93174002,60.67760056,492,1,40,46,41,40,41,43,42,41.125,8.125,8,1
46900,37.70578032,50.86049168,88,0,50,49,50,50,51,52,52,50.57142857,1.285714286,7,0
78700,33.20681133,43.93851409,91,0,49,49,50,51,51,50,50,50,0.666666667,7,0
169900,34.39623629,45.30992815,29,0,48,49,49,52,49,50,51,49.71428571,1.904761905,7,0
183700,32.70614005,42.37287531,41,0,51,50,51,48,49,52,50,50.14285714,1.80952381,7,0
106300,31.29256597,67.51662393,436,1,41,43,39,41,38,43,45,41.125,5.839285714,8,1
170600,35.12661052,54.78133952,90,0,49,50,50,50,49,49,49,49.42857143,0.285714286,7,0
196700,28.47132333,62.09436942,372,1,43,39,43,41,41,38,45,41.875,6.696428571,8,1
186200,26.81908659,78.25076999,594,1,38,39,41,39,41,41,43,40,3.142857143,8,1
166400,26.00737723,77.02054066,511,1,41,40,41,41,42,40,40,40.75,0.5,8,1
154700,24.05305026,96.68661296,907,1,36,35,33,36,35,35,31,31,81,11,2
120400,25.67795811,78.68453497,383,1,42,42,39,42,45,38,43,41.25,5.642857143,8,1
60400,30.96508697,40.00269386,75,0,49,50,51,48,52,48,48,49.42857143,2.619047619,7,0
140200,23.24357569,93.12686762,756,1,34,36,34,33,30,31,34,31,78,11,2
155000,37.61122674,56.07609781,26,0,51,51,51,51,50,50,48,50.28571429,1.238095238,7,0
148900,23.86302531,96.51661099,715,1,33,32,30,35,31,29,38,31,46,11,2
162200,27.91897325,95.57678741,958,1,34,32,32,33,31,33,32,30,74,11,2
118500,26.77191143,72.89014157,409,1,39,45,40,38,44,38,40,40.5,6.857142857,8,1
56400,25.48700597,80.16014602,774,1,32,34,33,32,33,34,29,30,60,11,2
158600,35.56115643,49.07979822,43,0,52,50,50,52,51,50,53,51.14285714,1.476190476,7,0
111900,28.22723355,75.19212691,564,1,43,45,40,36,43,42,40,41.25,7.357142857,8,1
139900,26.84776996,61.81405794,337,1,39,44,41,41,43,43,46,42.125,5.267857143,8,1
40100,37.22042325,41.43423778,52,0,51,50,52,51,51,49,48,50.28571429,1.904761905,7,0
3100,31.36419299,51.30660509,27,0,51,51,49,51,51,49,50,50.28571429,0.904761905,7,0
148300,30.04606928,58.42615024,73,0,47,49,48,51,50,52,49,49.42857143,2.952380952,7,0
68000,28.05398724,73.3084651,459,1,41,43,40,41,43,41,42,41.625,1.125,8,1
59900,30.32694893,42.67656726,27,0,48,52,51,50,49,50,51,50.14285714,1.80952381,7,0
114900,31.16275819,63.01015699,364,1,43,38,41,44,42,41,36,40.5,7.142857143,8,1
128300,24.91921063,91.57523742,881,1,32,31,30,34,32,33,35,29,63,11,2
186000,36.21157957,56.29342009,46,0,50,51,49,50,49,51,53,50.42857143,1.952380952,7,0
56500,34.71934149,45.90580988,90,0,51,48,48,48,52,49,51,49.57142857,2.952380952,7,0
21300,29.26316466,69.5540299,513,1,42,46,43,40,41,41,41,41.625,4.553571429,8,1
196600,31.47581003,46.12865645,91,0,51,51,53,50,50,51,52,51.14285714,1.142857143,7,0
86500,34.47712265,51.60177669,64,0,49,48,49,51,50,52,48,49.57142857,2.285714286,7,0
147900,26.85741989,85.02317157,712,1,34,32,31,35,31,34,31,30,82,11,2
45000,25.24202294,76.63100709,564,1,41,43,38,42,42,42,44,41,7.142857143,8,1
42900,23.26224302,90.82874686,940,1,34,33,33,33,33,32,34,31,70,11,2
81200,30.99730145,53.33200958,1,0,50,52,51,51,51,49,50,50.57142857,0.952380952,7,0
147700,36.09828108,50.71870158,69,0,50,49,49,51,50,50,48,49.57142857,0.952380952,7,0
181700,22.02240249,87.69694743,930,1,34,31,33,32,31,30,38,31,45,11,2
27100,31.31304108,69.90061007,513,1,41,39,41,42,39,42,42,40.125,5.839285714,8,1
103800,30.52285073,41.35005093,73,0,50,52,47,48,50,49,53,49.85714286,4.476190476,7,0
57400,24.11787329,83.18072208,739,1,31,31,31,33,34,31,34,30,71,11,2
8000,36.90482741,40.54334842,69,0,50,49,50,50,51,50,50,50,0.333333333,7,0
120400,33.90914552,53.53881566,98,0,52,49,50,51,49,50,52,50.42857143,1.619047619,7,0
128500,30.4064926,64.29912037,518,1,41,39,43,36,44,39,41,40.125,6.982142857,8,1
154500,33.86836517,43.09850622,8,0,51,53,51,51,50,49,47,50.28571429,3.571428571,7,0
17700,33.09388277,52.8576382,81,0,49,48,50,50,50,51,50,49.71428571,0.904761905,7,0
58500,25.64809294,61.62779031,484,1,43,40,42,41,41,39,42,41,1.714285714,8,1
197900,23.34765005,85.93874458,740,1,33,33,35,33,34,34,31,30,87,11,2
158600,23.97351242,92.44841337,731,1,33,35,33,30,34,34,33,30,79,11,2
143800,31.61482762,58.56364196,3,0,50,49,50,52,50,49,51,50.14285714,1.142857143,7,0
29600,36.15994842,44.38137618,14,0,50,49,51,49,50,50,50,49.85714286,0.476190476,7,0
161500,30.95798923,78.68937119,355,1,43,41,42,41,40,42,41,41.375,0.839285714,8,1
164700,29.68055474,63.16327097,462,1,39,43,41,38,42,41,41,40.375,3.410714286,8,1
15700,36.09295692,46.95882823,85,0,51,51,50,51,50,50,50,50.42857143,0.285714286,7,0
102700,36.75639519,52.83468795,5,0,50,50,49,51,49,51,50,50,0.666666667,7,0
41000,32.5545091,53.76548472,8,0,51,48,50,49,51,49,50,49.71428571,1.238095238,7,0
195800,26.49236011,64.97263353,470,1,41,43,40,42,39,41,40,41.125,2.125,8,1
28800,22.86471597,93.99526624,835,1,33,33,32,37,34,35,33,31,79,11,2
193000,25.54124138,87.15984489,892,1,33,32,32,33,36,32,33,30,85,11,2
2800,23.28566671,83.00536548,937,1,32,32,31,34,34,31,38,31,54,11,2
21500,25.78200467,88.61698114,922,1,32,35,31,33,30,33,32,30,65,11,2
18100,26.02073426,70.65222384,381,1,41,41,39,42,42,40,41,40.875,0.982142857,8,1
101300,27.83895286,98.78003632,717,1,32,32,34,34,32,32,33,30,86,11,2
81000,37.87872959,44.94680632,17,0,53,51,51,51,48,49,50,50.42857143,2.619047619,7,0
155400,27.53649196,90.54445965,831,1,34,30,32,33,33,35,36,30,79,11,2
178100,24.6132482,98.62847472,711,1,35,34,33,33,33,33,34,30,89,11,2
173300,30.17653818,77.18830453,479,1,38,43,43,37,43,41,39,40.625,5.696428571,8,1
88400,25.21682237,81.9480892,959,1,34,34,33,34,33,34,37,31,91,11,2
97700,31.694205,75.24360856,416,1,42,39,39,45,42,41,42,41.875,5.267857143,8,1
179500,29.83833761,66.7411198,559,1,40,37,37,40,38,40,40,39.375,3.982142857,8,1
16800,30.52920236,61.13375198,343,1,45,42,39,42,42,42,44,42.5,3.428571429,8,1
107700,28.66591407,65.59282758,335,1,41,43,41,41,36,44,44,41.75,7.357142857,8,1
169400,32.94027538,46.90167491,75,0,49,51,50,49,51,50,49,49.85714286,0.80952381,7,0
102400,37.55413191,41.13171312,93,0,50,49,51,50,50,50,51,50.14285714,0.476190476,7,0
194600,28.7997353,69.47786079,307,1,42,41,39,45,42,42,42,41.75,2.785714286,8,1
12400,25.36058044,72.62584933,371,1,41,41,40,38,38,42,44,40.875,4.696428571,8,1
198400,23.23014267,80.26912864,898,1,33,34,32,35,32,31,34,30,83,11,2
70400,26.95182786,74.7142522,315,1,37,40,41,41,39,42,41,40.625,4.267857143,8,1
103300,30.96453509,42.02745795,60,0,49,51,50,50,49,51,49,49.85714286,0.80952381,7,0
109500,22.57273052,96.5197662,867,1,34,32,31,36,32,33,35,30,76,11,2
189000,22.09572393,85.10318632,795,1,30,32,35,32,34,35,31,31,66,11,2
32500,27.23655648,85.41979699,851,1,34,32,34,33,30,32,34,30,84,11,2
170000,37.72657729,52.22927222,29,0,47,49,51,51,49,51,51,49.85714286,2.476190476,7,0
91300,30.39711553,69.23253303,327,1,40,41,42,40,42,42,41,40.5,4,8,1
76000,25.2732911,92.17500747,916,1,32,33,31,33,32,36,34,30,76,11,2
132000,25.29508654,78.30158142,437,1,36,42,43,41,41,44,42,41,6.285714286,8,1
192000,25.25481803,90.95446529,847,1,33,33,33,33,33,33,35,30,90,11,2
58200,29.21890753,76.89418333,377,1,40,39,42,41,43,45,41,41.25,4.214285714,8,1
181800,24.8306667,87.93429257,1011,1,35,33,36,30,33,32,33,30,84,11,2
196200,25.02139036,92.32964723,939,1,35,33,34,34,32,34,33,31,78,11,2
118600,35.50308578,47.1377195,68,0,50,49,51,52,48,50,50,50,1.666666667,7,0
173700,30.69029698,60.73646801,440,1,41,40,40,41,43,41,41,40.5,2.857142857,8,1
78300,32.76556795,55.86285748,29,0,50,49,49,50,49,51,49,49.57142857,0.619047619,7,0
129300,23.79661245,96.32992181,707,1,34,33,33,32,32,35,32,30,78,11,2
5000,37.75667702,49.16601283,93,0,50,51,51,48,50,50,51,50.14285714,1.142857143,7,0
71200,33.77260951,46.96191186,26,0,50,49,50,49,52,51,48,49.85714286,1.80952381,7,0
30600,30.81727308,65.62581408,418,1,39,41,39,40,42,43,38,40.125,2.982142857,8,1
186700,25.91434007,60.67326408,325,1,40,40,40,39,42,42,44,41,2.571428571,8,1
44600,30.97946726,61.60902085,431,1,40,43,37,40,42,41,43,40.5,4.857142857,8,1
24000,27.63205489,75.93236569,411,1,43,43,39,43,44,43,39,41.875,3.839285714,8,1
103100,25.77207948,82.94603531,763,1,31,34,32,32,31,32,32,30,79,11,2
154100,25.03247983,89.74260051,842,1,31,34,34,31,33,33,32,30,71,11,2
110300,30.72243456,69.52970237,484,1,42,41,39,42,44,42,41,41.875,2.696428571,8,1
54300,24.75239863,89.4283005,712,1,35,34,32,34,32,32,36,31,57,11,2
67600,30.89631122,47.35571976,5,0,50,49,49,50,50,50,50,49.71428571,0.238095238,7,0
199800,27.19515838,93.21785711,837,1,34,34,32,31,32,33,32,29,68,11,2
163900,26.95294993,72.4708301,358,1,40,41,42,42,40,40,41,40.375,2.553571429,8,1
69400,31.85987667,77.13486163,416,1,41,40,43,42,42,41,39,40.75,2.785714286,8,1
99500,29.47616346,70.21282737,438,1,44,43,42,40,43,40,44,41.875,3.839285714,8,1
156200,36.24420412,41.13957454,26,0,50,53,49,52,49,50,50,50.42857143,2.285714286,7,0
164900,29.42429653,66.58144963,504,1,39,42,39,37,39,39,44,39.75,4.785714286,8,1
46500,31.52567493,78.89080088,514,1,44,39,44,43,40,40,40,41.25,4.214285714,8,1
34600,35.08074921,53.57339913,80,0,51,52,48,48,52,48,51,50,3.666666667,7,0
149600,34.95592277,57.25993663,58,0,50,51,49,50,51,51,49,50.14285714,0.80952381,7,0
34400,26.49075912,70.30137035,426,1,39,41,42,39,41,40,40,40,1.714285714,8,1
190500,25.25181555,62.35069241,586,1,44,41,40,39,40,42,39,40.875,2.982142857,8,1
165800,29.94444832,72.98191328,344,1,39,41,42,42,44,44,39,42,5.142857143,8,1
62200,32.96377682,48.67634839,15,0,50,51,48,52,52,50,48,50.14285714,2.80952381,7,0
53500,24.45248378,97.58304615,771,1,34,34,29,35,32,32,35,30,71,11,2
140000,31.33633526,41.34511828,24,0,51,50,49,51,52,49,54,50.85714286,3.142857143,7,0
129700,28.99316293,71.80756129,488,1,43,43,42,39,41,45,42,42.25,3.071428571,8,1
198500,28.12241182,72.10242237,383,1,41,39,42,43,39,42,38,41,4.571428571,8,1
50700,25.93283361,84.50397888,869,1,32,32,33,32,33,34,33,30,89,11,2
126400,22.23365859,97.7373417,820,1,35,31,33,31,32,31,32,29,77,11,2
32400,37.63892225,56.47580768,81,0,49,49,49,50,49,49,50,49.28571429,0.238095238,7,0
99700,30.56127656,63.10481058,355,1,41,41,41,40,44,42,40,41,2.285714286,8,1
3700,30.78137691,43.02493657,79,0,51,51,51,53,50,47,49,50.28571429,3.571428571,7,0
54500,24.23352651,98.07385649,866,1,35,34,34,35,32,31,34,31,64,11,2
155700,27.18281059,84.06746741,897,1,35,33,31,35,33,32,33,30,82,11,2
53000,36.50320807,53.53642598,27,0,51,52,50,49,50,51,52,50.71428571,1.238095238,7,0
64200,27.28522284,72.49418055,321,1,40,39,41,40,44,42,40,40.75,2.5,8,1
168000,25.19193241,71.51329941,325,1,40,42,42,37,40,39,40,39.5,4.571428571,8,1
34800,28.46314785,60.39210195,307,1,41,41,45,43,39,39,42,41.125,4.696428571,8,1
78400,26.12007378,63.85617846,560,1,37,44,42,41,41,42,40,40.875,4.125,8,1
172000,22.52573994,99.56705967,957,1,33,33,35,34,33,33,35,30,72,11,2
22500,27.37924398,64.23345498,391,1,43,40,41,37,43,39,38,39.875,5.267857143,8,1
107300,30.14299148,45.42192508,9,0,52,50,49,49,50,48,49,49.57142857,1.619047619,7,0
119700,37.75102284,57.52638866,6,0,51,49,51,49,50,50,49,49.85714286,0.80952381,7,0
123300,23.83377056,99.13414359,884,1,30,33,33,36,31,35,34,31,73,11,2
26300,34.14663722,48.86760029,39,0,50,50,49,49,49,49,50,49.42857143,0.285714286,7,0
172900,34.92175551,51.90425668,92,0,49,49,49,50,49,52,52,50,2,7,0
172700,26.9451129,86.76705202,819,1,34,34,35,31,33,32,33,31,84,11,2
90700,32.73453881,44.52250662,21,0,49,49,51,50,50,48,48,49.28571429,1.238095238,7,0
133500,35.20260549,54.99955597,94,0,50,51,50,50,50,51,52,50.57142857,0.619047619,7,0
139300,34.15819159,46.50581237,58,0,50,50,49,50,51,50,52,50.28571429,0.904761905,7,0
96000,30.66238934,43.90481206,55,0,49,51,52,52,52,50,50,50.85714286,1.476190476,7,0
23900,31.41688544,44.7902034,33,0,52,50,52,51,51,50,50,50.85714286,0.80952381,7,0
19900,36.23900437,47.60801098,62,0,49,49,50,51,48,50,49,49.42857143,0.952380952,7,0
41700,28.87744734,76.96715085,439,1,42,41,41,37,41,39,41,40.5,2.857142857,8,1
113000,23.35298892,86.34430056,1002,1,31,32,34,34,35,33,35,31,67,11,2
96800,25.78713389,90.58841672,913,1,34,33,35,31,33,35,33,31,56,11,2
192500,23.83247131,91.2892087,973,1,33,32,32,35,32,29,38,31,46,11,2
130700,23.2976351,86.07640546,859,1,34,34,32,33,32,35,32,30,87,11,2
32500,35.90317533,59.10121023,95,0,50,49,50,49,49,48,50,49.28571429,0.571428571,7,0
67700,27.31303202,63.37061308,402,1,41,40,42,44,43,38,43,41.5,3.714285714,8,1
87000,24.21384895,95.40673305,775,1,32,32,34,31,33,32,31,31,45,11,2
147100,27.97112322,99.80612516,965,1,29,35,33,33,32,31,34,30,71,11,2
10100,35.09128329,50.66057734,43,0,50,49,50,50,51,50,48,49.71428571,0.904761905,7,0
173700,31.55698009,55.02354274,27,0,50,50,52,52,49,50,49,50.28571429,1.571428571,7,0
200,22.35114848,92.94816333,739,1,35,35,31,32,33,34,33,30,90,11,2
87700,35.27139154,44.09360218,70,0,50,49,50,49,49,50,48,49.28571429,0.571428571,7,0
167800,26.20815945,84.6724434,890,1,36,35,33,35,35,34,30,31,83,11,2
40800,37.24305581,59.76071932,38,0,49,49,50,49,50,52,52,50.14285714,1.80952381,7,0
174500,28.2823734,79.23774676,596,1,42,44,38,37,43,41,38,40.5,6.571428571,8,1
124400,36.08819193,54.04292192,72,0,51,50,52,49,51,51,54,51.14285714,2.476190476,7,0
28700,25.54009079,75.30249962,342,1,39,42,39,40,39,41,42,40,2.285714286,8,1
135400,33.89335153,43.75840762,53,0,49,48,50,51,50,50,50,49.71428571,0.904761905,7,0
85700,27.91598297,68.3083691,467,1,40,43,40,41,40,43,41,40.75,2.785714286,8,1
89300,33.17746824,53.09301374,24,0,51,52,50,49,51,52,50,50.71428571,1.238095238,7,0
118100,32.73497733,45.78374893,83,0,51,51,51,49,51,49,49,50.14285714,1.142857143,7,0
85200,23.60085956,90.52960123,928,1,31,32,31,31,29,32,32,30,68,11,2
106200,27.23899518,97.61372694,812,1,33,35,33,34,34,31,31,31,81,11,2
169800,26.42080664,67.76551959,530,1,42,42,40,38,46,42,45,41.75,7.642857143,8,1
156200,23.57242839,85.38671425,702,1,35,33,31,34,31,32,32,30,84,11,2
31200,26.64830549,96.05157357,773,1,33,34,36,31,35,32,33,30,54,11,2
73000,31.31412638,54.94888813,12,0,51,49,50,50,50,50,48,49.71428571,0.904761905,7,0
103200,31.8400707,55.01879597,56,0,48,51,50,49,50,52,49,49.85714286,1.80952381,7,0
106600,31.72379596,74.77303786,488,1,39,41,41,41,39,38,42,40.125,1.839285714,8,1
154200,23.4420107,99.57940348,1007,1,33,36,33,35,36,34,34,31,85,11,2
113100,27.07521185,95.91273986,979,1,35,33,35,32,32,34,34,31,88,11,2
97700,30.41140651,40.22835967,21,0,51,49,49,51,50,48,50,49.71428571,1.238095238,7,0
31600,22.87952278,90.09414895,1001,1,31,33,31,33,31,32,32,29,85,11,2
62200,30.51011888,72.7939556,375,1,43,42,41,40,39,42,42,41.5,2,8,1
122500,35.10820758,57.8171107,6,0,51,53,50,51,50,51,51,51,1,7,0
120900,37.976996,52.2109351,18,0,51,49,50,52,50,50,52,50.57142857,1.285714286,7,0
