Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,Sat_Count,SNR_Diff
106072,33.8,55.4,0,0,33,33,33,34,33,32,33,33,37,,,,,,,33.44444444444444,2.027777777777779,9,-0.22222222222222143
108072,33.7,55.6,0,0,33,33,34,34,33,32,33,34,37,,,,,,,33.666666666666664,2.0,9,0.22222222222222143
110072,33.8,55.5,0,0,33,33,33,34,33,32,33,34,37,,,,,,,33.55555555555556,2.0277777777777777,9,-0.11111111111110716
112072,33.7,55.6,0,0,33,33,33,34,33,32,33,34,37,,,,,,,33.55555555555556,2.0277777777777777,9,0.0
114073,33.7,55.6,0,0,33,32,32,33,33,32,33,34,37,,,,,,,33.22222222222222,2.444444444444445,9,-0.3333333333333357
116073,33.7,55.5,0,0,33,32,32,33,34,33,32,33,37,,,,,,,33.22222222222222,2.444444444444452,9,0.0
118073,33.7,55.5,0,0,33,33,32,33,34,33,33,33,37,,,,,,,33.44444444444444,2.0277777777777786,9,0.22222222222222143
120073,33.7,55.5,0,0,33,33,33,34,33,34,33,33,37,,,,,,,33.666666666666664,1.7500000000000007,9,0.22222222222222143
122073,33.6,55.4,0,0,34,34,34,34,34,34,34,33,37,,,,,,,34.22222222222222,1.1944444444444446,9,0.5555555555555571
124072,33.7,55.4,0,0,34,34,34,34,34,34,33,32,37,,,,,,,34.0,1.7499999999999991,9,-0.22222222222222143
126072,33.7,55.4,0,0,35,34,33,33,34,34,33,32,37,,,,,,,33.888888888888886,2.1111111111111116,9,-0.11111111111111427
128072,33.5,55.5,0,0,34,34,33,33,34,34,33,31,37,,,,,,,33.666666666666664,2.4999999999999987,9,-0.22222222222222143
130073,33.6,55.5,0,0,34,34,33,33,34,34,33,32,37,,,,,,,33.77777777777778,1.9444444444444402,9,0.11111111111111427
132073,33.5,55.5,0,0,34,34,33,33,34,34,33,34,37,,,,,,,34.0,1.4999999999999938,9,0.22222222222222143
134073,33.4,55.6,0,0,35,34,33,33,35,35,34,34,37,,,,,,,34.44444444444444,1.5277777777777786,9,0.44444444444444287
136073,33.4,55.6,0,0,35,34,34,33,35,35,34,34,37,,,,,,,34.55555555555556,1.2777777777777768,9,0.11111111111111427
138072,33.4,55.8,0,0,35,35,34,33,35,35,34,33,37,,,,,,,34.55555555555556,1.5277777777777772,9,0.0
140072,33.3,55.9,0,0,35,35,34,33,35,36,34,34,37,,,,,,,34.77777777777778,1.444444444444444,9,0.22222222222222143
142072,33.3,56.1,0,0,35,36,34,33,35,36,34,35,37,,,,,,,35.0,1.4999999999999996,9,0.22222222222222143
144072,33.3,56.2,0,0,36,36,34,34,35,36,34,35,37,,,,,,,35.22222222222222,1.1944444444444455,9,0.22222222222222143
146073,33.2,56.4,0,0,36,36,34,35,35,36,34,35,37,,,,,,,35.333333333333336,1.0000000000000007,9,0.11111111111111427
148073,33.3,56.3,0,0,35,36,34,35,35,36,33,33,36,,,,,,,34.77777777777778,1.4444444444444424,9,-0.5555555555555571
150073,33.1,56.5,0,0,34,36,34,35,35,36,34,34,36,,,,,,,34.888888888888886,0.8611111111111112,9,0.11111111111110716
152072,33.0,56.4,0,0,35,36,35,34,34,36,35,33,36,,,,,,,34.888888888888886,1.111111111111112,9,0.0
154072,33.0,56.4,0,0,35,36,36,33,34,36,35,34,36,,,,,,,35.0,1.2499999999999996,9,0.11111111111111427
156071,32.9,56.5,0,0,34,36,36,33,34,36,34,33,36,,,,,,,34.666666666666664,1.7500000000000009,9,-0.3333333333333357
158072,32.9,56.6,0,0,33,36,36,33,34,36,34,34,36,,,,,,,34.666666666666664,1.7500000000000007,9,0.0
160071,33.0,56.5,0,0,33,36,36,34,34,36,35,34,36,,,,,,,34.888888888888886,1.3611111111111112,9,0.22222222222222143
162073,33.0,56.6,0,0,33,35,36,34,33,36,36,34,36,,,,,,,34.77777777777778,1.6944444444444446,9,-0.11111111111110716
164072,32.9,56.8,0,0,34,35,36,36,33,36,38,33,36,,,,,,,35.22222222222222,2.6944444444444438,9,0.44444444444444287
166072,32.9,56.9,0,0,34,35,36,36,33,35,37,34,36,,,,,,,35.111111111111114,1.6111111111111118,9,-0.11111111111110716
168072,32.8,57.0,0,0,34,35,35,37,32,35,36,35,36,,,,,,,35.0,1.9999999999999996,9,-0.11111111111111427
170072,32.8,57.0,0,0,33,34,35,36,33,34,35,36,36,,,,,,,34.666666666666664,1.4999999999999951,9,-0.3333333333333357
172071,32.9,57.0,0,0,33,34,34,36,33,33,35,36,36,,,,,,,34.44444444444444,1.7777777777777788,9,-0.22222222222222143
174106,32.8,57.1,0,0,34,33,35,35,34,33,35,36,36,,,,,,,34.55555555555556,1.2777777777777768,9,0.11111111111111427
176136,32.7,57.3,0,0,35,35,35,35,35,34,34,36,36,,,,,,,35.0,0.5000000000000004,9,0.44444444444444287
178136,32.7,57.3,0,0,35,34,35,34,36,35,34,36,36,,,,,,,35.0,0.7500000000000036,9,0.0
180135,32.7,57.4,0,0,36,35,35,35,35,35,34,36,36,,,,,,,35.22222222222222,0.44444444444444353,9,0.22222222222222143
182134,32.7,57.5,0,0,36,34,35,35,34,35,35,36,36,,,,,,,35.111111111111114,0.611111111111111,9,-0.11111111111110716
184134,32.6,57.6,0,0,36,34,35,36,34,35,35,36,36,,,,,,,35.22222222222222,0.6944444444444445,9,0.11111111111110716
186134,32.6,57.7,0,0,36,33,35,36,34,35,35,36,36,,,,,,,35.111111111111114,1.1111111111111116,9,-0.11111111111110716
188133,32.5,57.8,0,0,35,34,35,36,35,35,36,36,36,,,,,,,35.333333333333336,0.49999999999999956,9,0.22222222222222143
190140,32.5,57.9,0,0,35,34,35,35,35,35,36,36,36,,,,,,,35.22222222222222,0.44444444444444975,9,-0.11111111111111427
192137,32.5,58.0,0,0,35,34,35,35,35,35,36,36,36,,,,,,,35.22222222222222,0.44444444444444975,9,0.0
194131,32.5,58.15,0,0,34,34,35,35,36,35,36,36,36,,,,,,,35.22222222222222,0.6944444444444495,9,0.0
196132,32.5,58.3,0,0,34,34,35,36,37,35,36,36,36,,,,,,,35.44444444444444,1.0277777777777735,9,0.22222222222222143
198125,32.5,58.5,0,0,35,31,35,36,37,36,37,36,36,,,,,,,35.44444444444444,3.2777777777777812,9,0.0
200128,32.5,58.5,0,0,35,31,36,37,37,35,37,36,36,,,,,,,35.55555555555556,3.5277777777777755,9,0.11111111111111427
202128,32.4,58.6,0,0,36,31,36,37,37,35,36,36,36,,,,,,,35.55555555555556,3.2777777777777786,9,0.0
204122,32.4,58.6,0,0,35,34,36,37,37,34,36,36,36,,,,,,,35.666666666666664,1.2500000000000004,9,0.11111111111110716
206071,32.45,58.55,0,0,35,34,36,36,36,35,35,36,36,,,,,,,35.44444444444444,0.5277777777777777,9,-0.22222222222222143
208075,32.5,58.5,0,0,35,35,36,36,36,35,35,36,36,,,,,,,35.55555555555556,0.27777777777777724,9,0.11111111111111427
210076,32.3,58.6,0,0,35,35,36,36,35,35,36,36,36,,,,,,,35.55555555555556,0.2777777777777793,9,0.0
212075,32.4,58.4,0,0,36,36,35,36,35,36,37,35,36,,,,,,,35.77777777777778,0.4444444444444431,9,0.22222222222222143
214075,32.2,58.5,0,0,36,36,36,36,35,37,37,35,36,,,,,,,36.0,0.5,9,0.22222222222222143
216076,32.2,58.7,0,0,36,37,37,35,35,37,37,35,36,,,,,,,36.111111111111114,0.8611111111111114,9,0.11111111111111427
218075,32.2,59.0,0,0,35,36,38,35,36,36,38,36,36,,,,,,,36.22222222222222,1.1944444444444442,9,0.11111111111110716
220076,32.2,59.1,0,0,35,36,38,35,36,36,38,37,36,,,,,,,36.333333333333336,1.25,9,0.11111111111111427
222075,32.2,59.2,0,0,36,35,38,35,36,36,37,37,36,,,,,,,36.22222222222222,0.9444444444444433,9,-0.11111111111111427
224074,32.2,59.4,0,0,36,35,38,35,36,37,37,36,36,,,,,,,36.22222222222222,0.9444444444444445,9,0.0
226074,32.2,59.5,0,0,36,36,36,36,37,37,36,36,36,,,,,,,36.22222222222222,0.19444444444444361,9,0.0
228074,32.2,59.5,0,0,36,36,36,36,37,36,35,36,36,,,,,,,36.0,0.25000000000000144,9,-0.22222222222222143
230074,32.2,59.5,0,0,35,36,36,35,37,35,35,36,36,,,,,,,35.666666666666664,0.49999999999999994,9,-0.3333333333333357
232075,32.2,59.5,0,0,35,36,36,35,36,36,36,36,36,,,,,,,35.77777777777778,0.1944444444444438,9,0.11111111111111427
234075,32.1,59.4,0,0,35,37,35,36,36,36,36,36,36,,,,,,,35.888888888888886,0.3611111111111114,9,0.11111111111110716
236076,31.9,59.5,0,0,36,37,36,36,36,37,37,37,36,,,,,,,36.44444444444444,0.27777777777777707,9,0.5555555555555571
238074,32.1,59.4,0,0,36,37,36,37,36,36,37,37,36,,,,,,,36.44444444444444,0.27777777777777807,9,0.0
240074,32.1,59.5,0,0,36,36,36,36,35,36,36,38,36,,,,,,,36.111111111111114,0.6111111111111118,9,-0.3333333333333286
242076,32.0,59.4,0,0,36,36,36,36,36,36,35,37,36,,,,,,,36.0,0.25,9,-0.11111111111111427
244075,32.1,59.4,0,0,36,37,35,37,37,37,35,37,36,,,,,,,36.333333333333336,0.7500000000000002,9,0.3333333333333357
246075,32.0,59.2,0,0,37,38,36,37,37,37,36,37,36,,,,,,,36.77777777777778,0.4444444444444442,9,0.44444444444444287
248076,31.9,59.3,0,0,38,38,36,38,38,37,37,37,36,,,,,,,37.22222222222222,0.694444444444445,9,0.44444444444444287
250076,31.9,59.3,0,0,38,38,37,37,38,36,37,37,36,,,,,,,37.111111111111114,0.6111111111111118,9,-0.11111111111110716
252076,31.9,59.3,0,0,37,37,36,37,38,38,37,37,36,,,,,,,37.0,0.4999999999999999,9,-0.11111111111111427
254075,31.9,59.3,0,0,37,37,36,36,38,38,36,38,36,,,,,,,36.888888888888886,0.8611111111111112,9,-0.11111111111111427
256075,31.9,59.4,0,0,37,37,37,37,38,39,37,38,36,,,,,,,37.333333333333336,0.7499999999999996,9,0.44444444444444997
258075,31.8,59.5,0,0,38,38,37,38,38,38,37,38,36,,,,,,,37.55555555555556,0.5277777777777746,9,0.22222222222222143
260076,31.9,59.5,0,0,38,38,38,38,38,38,37,38,36,,,,,,,37.666666666666664,0.4999999999999991,9,0.11111111111110716
262076,31.9,59.5,0,0,38,38,38,38,38,38,36,37,36,,,,,,,37.44444444444444,0.7777777777777778,9,-0.22222222222222143
264076,31.7,59.7,0,0,37,38,38,37,39,38,36,37,36,,,,,,,37.333333333333336,0.9999999999999996,9,-0.11111111111110716
266076,31.8,59.6,0,0,37,38,38,36,38,38,36,36,36,,,,,,,37.0,0.9999999999999997,9,-0.3333333333333357
268076,31.7,59.9,0,0,37,38,37,36,39,38,36,37,36,,,,,,,37.111111111111114,1.1111111111111123,9,0.11111111111111427
270075,31.8,59.9,0,0,39,38,37,37,38,38,36,37,36,,,,,,,37.333333333333336,0.9999999999999991,9,0.22222222222222143
272075,31.7,60.1,0,0,38,39,36,39,38,38,36,38,36,,,,,,,37.55555555555556,1.527777777777778,9,0.22222222222222143
274076,31.7,60.3,0,0,39,38,36,38,37,38,36,37,35,,,,,,,37.111111111111114,1.6111111111111125,9,-0.44444444444444287
276076,31.7,60.4,0,0,39,38,36,38,37,38,36,37,35,,,,,,,37.111111111111114,1.6111111111111125,9,0.0
278076,31.7,60.6,0,0,39,38,37,36,36,38,36,36,35,,,,,,,36.77777777777778,1.694444444444446,9,-0.3333333333333357
280076,31.6,60.6,0,0,38,37,37,36,37,37,36,36,35,,,,,,,36.55555555555556,0.7777777777777779,9,-0.22222222222222143
282076,31.7,60.7,0,0,37,37,37,36,36,38,36,36,35,,,,,,,36.44444444444444,0.7777777777777773,9,-0.11111111111111427
284076,31.7,60.6,0,0,36,37,36,36,36,38,36,36,35,,,,,,,36.22222222222222,0.6944444444444443,9,-0.22222222222222143
286075,31.7,60.6,0,0,35,37,36,36,36,38,37,36,35,,,,,,,36.22222222222222,0.9444444444444434,9,0.0
288075,31.7,60.6,0,0,36,37,37,36,36,38,37,35,35,,,,,,,36.333333333333336,1.0000000000000013,9,0.11111111111111427
290076,31.6,60.4,0,0,37,38,38,37,37,38,37,36,35,,,,,,,37.0,1.0000000000000004,9,0.6666666666666643
292076,31.7,60.4,0,0,37,37,37,38,37,37,37,36,35,,,,,,,36.77777777777778,0.6944444444444454,9,-0.22222222222222143
294076,31.6,60.3,0,0,38,37,37,39,38,37,37,37,35,,,,,,,37.22222222222222,1.194444444444443,9,0.44444444444444287
296076,31.5,60.2,0,0,38,36,37,40,38,37,37,37,35,,,,,,,37.22222222222222,1.9444444444444433,9,0.0
298075,31.7,60.2,0,0,38,37,37,40,38,37,38,38,35,,,,,,,37.55555555555556,1.7777777777777781,9,0.3333333333333357
300075,31.5,60.2,0,0,39,37,36,40,37,38,37,38,35,,,,,,,37.44444444444444,2.2777777777777715,9,-0.11111111111111427
302074,31.6,60.3,0,0,38,37,36,39,37,37,38,38,35,,,,,,,37.22222222222222,1.444444444444441,9,-0.22222222222222143
304075,31.7,60.4,0,0,37,36,36,39,36,37,38,38,35,,,,,,,36.888888888888886,1.6111111111111112,9,-0.3333333333333357
306075,31.5,60.3,0,0,36,37,36,38,37,37,38,38,35,,,,,,,36.888888888888886,1.111111111111112,9,0.0
308076,31.7,60.3,0,0,37,37,36,38,37,38,38,38,35,,,,,,,37.111111111111114,1.1111111111111127,9,0.22222222222222854
310075,31.5,60.3,0,0,37,38,37,37,37,38,37,37,35,,,,,,,37.0,0.7499999999999999,9,-0.11111111111111427
312076,31.5,60.3,0,0,37,38,37,37,37,37,37,36,35,,,,,,,36.77777777777778,0.6944444444444456,9,-0.22222222222222143
314076,31.5,60.3,0,0,37,38,36,37,37,37,37,36,35,,,,,,,36.666666666666664,0.7499999999999994,9,-0.11111111111111427
316076,31.4,60.4,0,0,37,38,35,38,37,37,37,36,35,,,,,,,36.666666666666664,1.2499999999999991,9,0.0
318075,31.7,60.3,0,0,37,37,35,37,38,36,37,35,35,,,,,,,36.333333333333336,1.2500000000000013,9,-0.3333333333333286
320074,31.5,60.3,0,0,37,38,36,37,37,36,36,35,35,,,,,,,36.333333333333336,1.0000000000000013,9,0.0
322076,31.5,60.4,0,0,37,37,37,37,38,37,37,35,35,,,,,,,36.666666666666664,1.0,9,0.3333333333333286
324076,31.4,60.6,0,0,37,36,37,36,37,36,37,35,35,,,,,,,36.22222222222222,0.6944444444444441,9,-0.44444444444444287
326076,31.6,60.6,0,0,37,36,37,36,37,37,37,36,35,,,,,,,36.44444444444444,0.527777777777777,9,0.22222222222222143
328076,31.5,60.6,0,0,37,36,36,36,37,36,37,36,35,,,,,,,36.22222222222222,0.4444444444444422,9,-0.22222222222222143
330076,31.7,60.6,0,0,36,37,36,36,38,37,37,37,35,,,,,,,36.55555555555556,0.7777777777777775,9,0.3333333333333357
332076,31.5,60.4,0,0,37,37,36,37,38,37,38,38,35,,,,,,,37.0,0.9999999999999991,9,0.44444444444444287
334075,31.6,60.4,0,0,37,37,36,38,38,36,36,38,35,,,,,,,36.77777777777778,1.1944444444444446,9,-0.22222222222222143
336074,31.7,60.2,0,0,37,37,36,38,37,36,37,38,35,,,,,,,36.77777777777778,0.9444444444444443,9,0.0
338076,31.8,60.0,0,0,36,37,37,39,37,37,37,38,35,,,,,,,37.0,1.2500000000000009,9,0.22222222222222143
340076,31.9,59.9,0,0,38,37,37,38,37,37,38,39,35,,,,,,,37.333333333333336,1.2499999999999991,9,0.3333333333333357
342076,31.8,59.8,0,0,38,37,37,38,38,38,38,39,35,,,,,,,37.55555555555556,1.2777777777777777,9,0.22222222222222143
344073,32.0,59.6,0,0,38,36,36,37,37,37,38,38,35,,,,,,,36.888888888888886,1.111111111111112,9,-0.6666666666666714
346114,32.0,59.4,0,0,37,36,36,37,38,38,39,36,35,,,,,,,36.888888888888886,1.6111111111111112,9,0.0
348137,32.1,59.2,0,0,38,36,37,37,38,37,39,36,35,,,,,,,37.0,1.4999999999999987,9,0.11111111111111427
350136,32.2,59.0,0,0,38,36,37,37,39,37,39,36,35,,,,,,,37.111111111111114,1.861111111111113,9,0.11111111111111427
352135,32.4,58.8,0,0,38,36,37,37,39,37,39,36,35,,,,,,,37.111111111111114,1.861111111111113,9,0.0
354138,32.4,58.7,0,0,38,37,37,38,38,37,39,36,35,,,,,,,37.22222222222222,1.4444444444444442,9,0.11111111111110716
356139,32.5,58.5,0,0,38,37,37,38,38,37,38,36,35,,,,,,,37.111111111111114,1.1111111111111118,9,-0.11111111111110716
358138,32.5,58.3,0,0,38,37,38,36,37,37,38,36,35,,,,,,,36.888888888888886,1.1111111111111147,9,-0.22222222222222854
360138,32.6,58.1,0,0,37,37,38,35,37,37,38,36,35,,,,,,,36.666666666666664,1.2499999999999967,9,-0.22222222222222143
362139,32.7,58.0,0,0,36,36,38,35,37,37,38,36,35,,,,,,,36.44444444444444,1.2777777777777777,9,-0.22222222222222143
364139,32.8,57.8,0,0,35,36,37,37,38,37,38,36,35,,,,,,,36.55555555555556,1.2777777777777766,9,0.11111111111111427
366141,32.9,57.7,0,0,35,35,37,37,38,37,38,36,35,,,,,,,36.44444444444444,1.5277777777777788,9,-0.11111111111111427
368141,32.9,57.7,0,0,35,35,37,37,38,37,38,36,35,,,,,,,36.44444444444444,1.5277777777777788,9,0.0
