Time(ms),Temp(C),Humidity(%),RainAnalog,RainDigital,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,SNR10,SNR11,SNR12,SNR13,SNR14,SNR15,Mean_SNR,SNR_Var,Sat_Count
48139,22.0,91.5,31,1,38,33,36,41,42,42,41,35,39,22,29,64,24,30,25,36,99,17
50139,22.1,91.1,38,1,39,32,37,41,42,42,41,35,39,22,29,64,24,30,25,36,100,17
52077,22.1,91.4,33,1,39,31,38,41,42,42,41,34,39,22,29,64,24,30,25,36,100,17
54128,22.0,91.2,32,1,37,30,40,41,42,42,41,34,39,22,29,64,24,30,25,36,100,17
56089,22.0,91.5,32,1,35,30,41,40,41,41,41,33,39,22,29,64,24,30,25,36,100,17
58071,22.0,91.2,31,1,34,33,42,40,40,40,40,33,39,22,29,64,24,30,25,36,98,17
60077,22.0,91.0,40,1,35,34,42,40,40,40,40,32,39,22,29,64,24,30,25,36,97,17
62067,22.0,91.2,34,1,36,35,42,39,40,39,40,32,39,22,29,64,24,30,25,36,96,17
64070,22.0,91.2,37,1,37,36,41,39,40,38,39,32,39,22,29,64,24,30,25,36,95,17
66067,22.1,90.9,43,1,38,38,41,38,39,37,39,31,39,22,29,64,24,30,25,39,321,17
68066,22.0,91.7,45,1,39,37,39,37,39,36,38,31,39,22,29,64,24,30,25,39,310,17
70068,21.8,91.5,30,1,37,37,37,36,38,35,37,30,39,22,29,64,24,30,25,38,306,17
72070,22.0,91.5,39,1,35,36,34,34,37,34,37,30,39,22,29,64,24,30,25,38,308,17
74071,22.0,91.5,30,1,33,34,32,33,36,33,36,30,39,22,29,64,24,30,25,37,315,17
76069,22.0,91.0,39,1,31,32,30,31,35,32,35,29,39,22,29,64,24,30,25,36,318,17
78070,22.1,90.9,30,1,28,30,28,29,33,31,34,29,39,22,29,64,24,30,25,36,326,17
80069,22.0,91.2,40,1,27,28,26,28,32,30,33,28,39,22,29,64,24,30,25,35,339,17
82070,22.0,91.0,41,1,25,26,25,27,31,29,32,28,39,22,29,64,24,30,25,34,354,17
84071,22.0,91.2,40,1,24,25,25,26,30,28,32,28,39,22,29,64,24,30,25,30,98,17
86073,22.1,91.4,46,1,24,25,24,25,28,27,31,27,39,22,29,64,24,30,25,30,101,17
88073,22.0,91.2,39,1,23,24,24,24,27,26,30,27,39,22,29,64,24,30,25,29,103,17
90074,22.0,91.2,39,1,23,24,24,24,26,25,29,26,39,22,29,64,24,30,25,29,104,17
92072,22.1,91.1,50,1,23,23,23,23,25,25,28,26,39,22,29,64,24,30,25,29,106,17
94074,22.0,91.2,48,1,23,23,23,23,24,24,27,26,39,22,29,64,24,30,25,29,106,17
96076,22.0,91.0,39,1,23,24,23,23,24,24,27,25,39,22,29,64,24,30,25,28,107,17
98078,22.0,91.2,35,1,24,24,23,24,24,24,26,25,39,22,29,64,24,30,25,28,106,17
100078,22.0,91.2,37,1,24,24,24,24,25,25,26,25,39,22,29,64,24,30,25,29,105,17
102078,22.0,91.0,32,1,24,25,24,25,25,26,26,26,39,22,29,64,24,30,25,29,103,17
104078,22.1,91.4,30,1,24,25,25,25,26,27,26,26,39,22,29,64,24,30,25,29,101,17
106078,22.0,91.0,25,1,25,25,25,26,27,27,27,27,39,22,29,64,24,30,25,29,99,17
108078,22.1,91.4,32,1,25,25,25,26,27,28,27,28,39,22,29,64,24,30,25,30,98,17
110077,22.0,91.2,40,1,25,26,26,27,27,27,27,27,39,22,29,64,24,30,25,30,98,17
112077,22.1,90.9,33,1,25,25,26,27,26,27,27,27,39,22,29,64,24,30,25,30,98,17
114078,22.1,90.9,29,1,25,25,26,26,26,27,26,27,39,22,29,64,24,30,25,29,98,17
116078,22.1,90.9,39,1,25,25,26,26,26,26,26,26,39,22,29,64,24,30,25,29,99,17
118078,22.3,91.0,34,1,25,25,26,26,26,26,26,26,39,22,29,64,24,30,25,29,99,17
120078,22.0,91.0,25,1,26,25,26,26,26,26,26,26,39,22,29,64,24,30,25,29,100,17
122078,22.1,90.9,33,1,26,26,26,25,26,26,26,25,39,22,29,64,24,30,25,29,100,17
124078,22.1,91.1,34,1,26,26,26,25,26,26,26,25,39,22,29,64,24,30,25,29,100,17
126077,22.0,91.0,34,1,26,26,26,25,26,26,26,25,38,22,29,64,24,30,25,29,100,17
128077,22.0,91.0,39,1,26,25,26,25,26,25,26,25,38,22,29,64,24,30,25,29,100,17
130078,22.0,91.0,34,1,26,25,26,25,26,25,26,25,38,22,29,64,24,30,25,29,100,17
132078,21.8,91.0,41,1,25,25,26,25,25,25,26,25,38,22,29,64,24,30,25,29,101,17
134078,22.0,90.7,42,1,25,25,25,25,25,25,25,25,38,22,29,64,24,30,25,29,101,17
136078,22.0,91.0,41,1,25,25,25,25,25,25,25,25,38,22,29,64,24,30,25,29,102,17
138078,22.1,91.1,35,1,25,25,25,25,25,25,25,25,38,22,29,64,24,30,25,29,102,17
140078,22.0,91.0,24,1,25,25,25,25,25,25,25,25,38,22,29,64,24,30,25,29,102,17
142077,22.1,91.4,28,1,25,25,25,25,25,25,25,26,38,22,29,64,24,30,25,29,102,17
144077,22.0,91.0,25,1,25,25,25,25,25,25,25,25,38,22,29,64,24,30,25,29,101,17
146078,22.1,91.4,31,1,25,26,26,25,25,25,25,25,38,22,29,64,24,30,25,29,101,17
148078,22.0,91.0,39,1,25,26,26,25,25,25,26,25,38,22,29,64,24,30,25,29,101,17
150078,22.1,91.1,32,1,25,26,26,25,25,25,26,25,38,22,29,64,24,30,25,29,100,17
152078,22.0,91.0,33,1,25,26,26,25,25,25,25,25,38,22,29,64,24,30,25,29,100,17
154078,22.1,91.1,23,1,25,26,26,25,25,25,25,25,38,22,29,64,24,30,25,29,100,17
156078,22.0,91.0,38,1,26,26,26,25,26,25,25,25,38,22,29,64,24,30,25,29,100,17
158077,22.0,91.2,41,1,26,26,26,25,26,25,25,25,38,22,29,64,24,30,25,29,100,17
160077,22.1,90.9,34,1,26,26,26,25,26,25,26,26,38,22,29,64,24,30,25,29,100,17
162078,22.0,91.0,38,1,26,26,26,26,26,25,26,26,38,22,29,64,24,30,25,29,99,17
164078,22.0,91.2,34,1,26,26,26,26,26,26,26,26,38,22,29,64,24,30,25,29,98,17
166078,22.0,91.5,40,1,26,26,26,26,26,26,27,26,38,22,29,64,24,30,25,29,97,17
2154,24.5,83.6,17,1,26,26,27,27,26,26,27,27,38,22,29,64,24,30,25,30,96,17
4115,24.5,91.6,14,1,26,26,27,27,27,26,27,27,38,22,29,64,24,30,25,30,95,17
6110,24.5,91.2,16,1,27,26,28,28,27,27,28,27,38,22,29,64,24,30,25,30,94,17
8101,24.5,91.6,14,1,27,26,28,28,27,27,28,27,38,22,29,64,24,30,25,30,94,17
10104,24.5,91.6,13,1,27,26,29,28,27,27,28,27,38,22,29,64,24,30,25,30,94,17
12163,24.4,91.2,10,1,28,26,28,28,27,27,28,27,38,22,29,64,24,30,25,30,94,17
14162,24.5,91.6,15,1,28,26,28,28,26,27,28,27,38,22,29,64,24,30,25,30,94,17
16145,24.4,91.2,16,1,28,25,27,28,26,27,28,27,38,22,29,64,24,30,25,30,95,17
18141,24.5,91.6,13,1,28,25,27,28,26,27,27,26,38,22,29,64,24,30,25,30,96,17
20167,24.5,91.6,12,1,27,25,26,28,26,27,27,26,38,22,29,64,24,30,25,30,96,17
22134,24.5,91.6,16,1,27,24,26,28,26,27,27,26,38,22,29,64,24,30,25,29,97,17
24153,24.5,91.6,14,1,26,24,25,28,26,27,27,26,38,22,29,64,24,30,25,29,98,17
26145,24.5,91.6,13,1,25,24,25,28,25,26,27,26,38,22,29,64,24,30,25,29,98,17
28154,24.4,91.6,18,1,24,24,25,28,25,26,27,26,38,22,29,64,24,30,25,29,99,17
30155,24.4,91.6,14,1,23,24,26,28,25,26,27,26,38,22,29,64,24,30,25,29,100,17
32148,24.4,91.6,18,1,23,24,26,28,25,26,27,26,38,22,29,64,24,30,25,29,101,17
2069,24.1,83.0,23,1,22,25,26,28,25,26,27,26,38,22,29,64,24,30,25,29,101,17
4074,24.2,91.7,17,1,23,25,26,28,25,26,26,25,38,22,29,64,24,30,25,29,99,17
6074,24.1,91.7,19,1,25,26,26,28,25,26,26,25,38,22,29,64,24,30,25,29,98,17
8074,24.2,92.0,17,1,26,26,27,28,25,26,26,26,38,22,29,64,24,30,25,29,97,17
10073,24.2,92.0,19,1,27,27,27,28,25,25,26,26,38,22,29,64,24,30,25,29,97,17
12072,24.2,92.3,14,1,27,27,27,28,25,25,25,26,38,22,29,64,24,30,25,29,98,17
14072,24.2,92.0,17,1,26,26,26,27,24,24,25,27,38,22,29,64,24,30,25,29,100,17
16072,24.2,92.0,13,1,25,25,25,26,24,24,24,27,38,22,29,64,24,30,25,29,102,17
18073,24.2,92.0,17,1,24,24,24,25,23,24,24,27,38,22,29,64,24,30,25,28,104,17
20073,24.2,92.0,19,1,23,23,24,23,23,25,24,27,37,22,29,64,24,30,25,28,106,17
2074,24.2,92.3,18,1,23,23,25,23,22,26,25,27,37,22,29,64,24,30,25,28,106,17
4074,24.2,92.3,16,1,23,23,25,22,22,26,25,27,37,22,29,64,24,30,25,28,106,17
6073,24.2,92.3,13,1,23,22,26,23,22,26,26,27,37,22,29,64,24,30,25,28,105,17
2162,24.0,83.8,18,1,24,22,26,23,22,26,26,27,37,22,29,64,24,30,25,29,104,17
4164,24.1,92.3,16,1,25,23,26,24,22,25,27,26,37,22,29,64,24,30,25,29,103,17
6166,24.1,92.7,19,1,26,23,26,26,22,24,27,26,37,22,29,64,24,30,25,29,103,17
8164,24.1,92.3,19,1,26,24,26,27,22,23,27,26,37,22,29,64,24,30,25,29,102,17
10170,24.1,92.3,19,1,27,25,27,28,22,22,27,26,37,22,29,64,24,30,25,29,101,17
12166,24.1,92.7,28,1,27,26,28,28,22,22,27,26,37,22,29,64,24,30,25,29,101,17
14168,24.2,92.7,48,1,27,27,29,29,22,22,27,25,37,22,29,64,24,30,25,29,101,17
16167,24.1,92.7,59,1,28,28,30,29,22,21,27,25,37,22,29,64,24,30,25,29,101,17
18167,24.2,92.7,30,1,27,29,30,28,22,21,26,25,37,22,29,64,24,30,25,29,101,17
20170,24.1,92.7,25,1,27,28,29,28,22,21,26,25,37,22,29,64,24,30,25,29,102,17
22168,24.2,93.0,33,1,26,28,29,27,22,21,26,24,37,22,29,64,24,30,25,29,103,17
24158,24.1,92.7,21,1,25,26,28,26,22,21,25,24,37,22,29,64,24,30,25,29,105,17
26167,24.2,93.0,36,1,24,25,27,25,22,20,25,24,37,22,29,64,24,30,25,28,107,17
28169,24.1,93.0,36,1,23,25,27,24,22,20,25,24,37,22,29,64,24,30,25,28,108,17
30171,24.1,93.0,38,1,22,24,26,24,22,20,24,24,37,22,29,64,24,30,25,28,109,17
32066,24.099917355371904,92.99454545454546,42,1,22,23,26,24,22,20,24,23,37,22,29,64,24,30,25,28,111,17
34065,24.099834710743803,92.9890909090909,31,1,22,22,25,24,22,20,24,23,37,22,29,64,24,30,25,28,112,17
36066,24.099752066115705,92.98363636363636,32,1,22,21,24,24,22,20,23,23,37,22,29,64,24,30,25,27,114,17
38064,24.099669421487604,92.97818181818182,30,1,22,18,22,24,22,19,23,23,37,22,29,64,24,30,25,27,118,17
40062,24.099586776859507,92.97272727272727,36,1,23,16,21,24,22,19,23,22,37,22,29,64,24,30,25,27,122,17
42062,24.099504132231406,92.96727272727273,32,1,24,15,20,24,22,19,22,22,37,22,29,64,24,30,25,27,125,17
44062,24.09942148760331,92.96181818181819,40,1,25,13,19,25,22,19,22,22,37,22,29,64,24,30,25,26,129,17
46062,24.099338842975207,92.95636363636363,35,1,26,11,18,25,22,19,22,22,37,22,29,64,24,30,25,26,132,17
48062,24.09925619834711,92.9509090909091,32,1,28,11,18,25,22,19,21,22,37,22,29,64,24,30,25,26,134,17
50063,24.09917355371901,92.94545454545455,37,1,28,11,19,25,22,18,21,21,37,22,29,64,24,30,25,26,135,17
52063,24.09909090909091,92.94,34,1,29,10,19,25,22,18,21,21,37,22,29,64,24,30,25,26,136,17
54063,24.09900826446281,92.93454545454546,37,1,29,10,19,25,22,18,20,21,37,22,29,64,24,30,25,26,137,17
56062,24.098925619834713,92.9290909090909,39,1,29,11,19,25,22,18,20,21,37,22,29,64,24,30,25,26,137,17
58062,24.098842975206612,92.92363636363636,38,1,29,11,19,25,22,18,20,20,37,22,29,64,24,30,25,26,137,17
60062,24.098760330578514,92.91818181818182,40,1,29,11,19,25,22,18,19,20,37,22,29,64,24,30,25,26,136,17
62062,24.098677685950413,92.91272727272727,39,1,29,11,19,25,22,17,19,20,37,22,29,64,24,30,25,26,136,17
64062,24.098595041322316,92.90727272727273,33,1,29,12,19,25,22,17,19,20,37,22,29,64,24,30,25,26,136,17
66063,24.098512396694215,92.90181818181819,36,1,29,12,19,25,22,17,18,20,37,22,29,64,24,30,25,26,136,17
68063,24.098429752066117,92.89636363636363,36,1,29,12,20,25,22,17,18,19,37,22,29,64,24,30,25,26,137,17
70063,24.098347107438016,92.89090909090909,41,1,29,13,20,25,22,17,18,19,37,22,29,64,24,30,25,26,137,17
72062,24.09826446280992,92.88545454545455,36,1,29,13,20,25,22,17,17,19,37,22,29,64,24,30,25,26,137,17
74062,24.09818181818182,92.88,35,1,29,13,20,25,22,16,17,19,37,22,29,64,24,30,25,26,137,17
76062,24.09809917355372,92.87454545454545,36,1,29,14,20,25,22,16,17,18,37,22,29,64,24,30,25,26,137,17
78062,24.098016528925623,92.86909090909091,36,1,29,14,20,25,22,16,16,18,37,22,29,64,24,30,25,26,137,17
80062,24.09793388429752,92.86363636363636,37,1,29,14,20,25,22,16,16,18,37,22,29,64,24,30,25,26,138,17
82063,24.097851239669424,92.85818181818182,34,1,29,15,20,25,22,16,16,18,37,22,29,64,24,30,25,26,138,17
84063,24.097768595041323,92.85272727272728,40,1,29,15,21,25,22,16,15,18,37,22,29,64,24,30,25,26,138,17
86063,24.097685950413226,92.84727272727272,35,1,29,15,21,25,22,15,15,17,36,22,29,64,24,30,25,26,139,17
88062,24.097603305785125,92.84181818181818,32,1,29,16,21,25,22,15,14,17,36,22,29,64,24,30,25,26,139,17
90062,24.097520661157027,92.83636363636364,40,1,29,16,21,25,22,15,14,17,36,22,29,64,24,30,25,26,140,17
92154,24.097438016528926,92.83090909090909,37,1,29,16,21,25,22,15,14,17,36,22,29,64,24,30,25,26,140,17
94154,24.09735537190083,92.82545454545455,42,1,29,16,21,25,22,15,13,17,36,22,29,64,24,30,25,26,141,17
96156,24.097272727272728,92.82,42,1,29,17,21,25,22,15,13,16,36,22,29,64,24,30,25,26,142,17
98144,24.09719008264463,92.81454545454545,37,1,29,17,21,25,22,14,13,16,36,22,29,64,24,30,25,26,142,17
100120,24.09710743801653,92.80909090909091,38,1,29,17,21,25,22,14,12,16,36,22,29,64,24,30,25,26,143,17
102095,24.09702479338843,92.80363636363636,34,1,29,18,22,26,22,14,12,16,36,22,29,64,24,30,25,26,144,17
104072,24.09694214876033,92.79818181818182,42,1,30,18,22,26,22,14,12,15,36,22,29,64,24,30,25,26,145,17
106065,24.096859504132233,92.79272727272728,30,1,30,18,22,26,22,14,11,15,36,22,29,64,24,30,25,26,145,17
108064,24.096776859504132,92.78727272727272,36,1,30,19,22,26,22,14,11,15,36,22,29,64,24,30,25,26,146,17
110064,24.096694214876035,92.78181818181818,41,1,30,19,22,26,22,13,11,15,36,22,29,64,24,30,25,26,147,17
112063,24.096611570247934,92.77636363636364,32,1,30,19,22,26,22,13,10,15,36,22,29,64,24,30,25,26,148,17
114064,24.096528925619836,92.77090909090909,40,1,30,20,22,26,22,13,10,14,36,22,29,64,24,30,25,26,149,17
116064,24.09644628099174,92.76545454545455,36,1,30,20,22,26,22,13,10,14,36,22,29,64,24,30,25,26,150,17
118064,24.096363636363638,92.76,42,1,30,20,22,26,22,13,9,14,36,22,29,64,24,30,25,26,151,17
120064,24.09628099173554,92.75454545454545,35,1,30,20,23,26,22,13,9,14,36,22,29,64,24,30,25,26,152,17
122063,24.09619834710744,92.74909090909091,37,1,30,21,23,26,22,12,9,13,36,22,29,64,24,30,25,26,153,17
124063,24.09611570247934,92.74363636363637,34,1,30,21,23,26,22,12,8,13,36,22,29,64,24,30,25,26,154,17
126063,24.09603305785124,92.73818181818181,36,1,30,21,23,26,22,12,8,13,36,22,29,64,24,30,25,26,156,17
128063,24.095950413223143,92.73272727272727,37,1,30,22,23,26,22,12,8,13,36,22,29,64,24,30,25,26,157,17
130064,24.095867768595042,92.72727272727273,40,1,30,22,23,26,22,12,7,13,36,22,29,64,24,30,25,26,158,17
132064,24.095785123966944,92.72181818181818,42,1,30,22,23,26,22,12,7,12,36,22,29,64,24,30,25,26,160,17
134064,24.095702479338843,92.71636363636364,30,1,30,23,23,26,22,11,7,12,36,22,29,64,24,30,25,26,161,17
136064,24.095619834710746,92.7109090909091,35,1,30,23,24,26,22,11,6,12,36,22,29,64,24,30,25,26,162,17
138063,24.095537190082645,92.70545454545454,41,1,30,23,24,26,22,11,6,12,36,22,29,64,24,30,25,26,164,17
140063,24.095454545454547,92.7,35,1,30,24,24,26,22,11,6,11,36,22,29,64,24,30,25,26,165,17
142063,24.095371900826446,92.69454545454545,37,1,30,24,24,26,22,11,5,11,36,22,29,64,24,30,25,26,167,17
144063,24.09528925619835,92.68909090909091,38,1,30,24,24,26,22,11,5,11,36,22,29,64,24,30,25,25,168,17
146064,24.095206611570248,92.68363636363637,38,1,30,25,24,26,22,10,5,11,36,22,29,64,24,30,25,25,170,17
148064,24.09512396694215,92.67818181818181,34,1,30,25,24,26,22,10,4,11,36,22,29,64,24,30,25,25,172,17
150064,24.09504132231405,92.67272727272727,33,1,30,25,24,26,22,10,4,10,36,22,29,64,24,30,25,25,173,17
152064,24.094958677685952,92.66727272727273,37,1,30,25,24,26,22,10,4,10,36,22,29,64,24,30,25,25,175,17
154068,24.09487603305785,92.66181818181818,30,1,30,26,25,26,22,10,3,10,36,22,29,64,24,30,25,25,177,17
156065,24.094793388429753,92.65636363636364,36,1,30,25,24,25,22,10,3,10,36,22,29,64,24,30,25,25,178,17
158065,24.094710743801656,92.6509090909091,32,1,29,24,22,24,22,9,3,9,36,22,29,64,24,30,25,25,179,17
160064,24.094628099173555,92.64545454545454,32,1,28,23,20,21,23,9,3,9,36,22,29,64,24,30,25,24,181,17
162064,24.094545454545457,92.64,32,1,27,20,17,18,24,9,3,9,36,22,29,64,24,30,25,24,185,17
164064,24.094462809917356,92.63454545454546,30,1,26,17,14,15,24,9,3,9,36,22,29,64,24,30,25,23,193,17
166064,24.09438016528926,92.6290909090909,37,1,25,15,11,12,25,9,3,9,36,22,29,64,24,30,25,23,203,17
168065,24.094297520661158,92.62363636363636,29,1,25,13,9,10,25,10,3,9,36,22,29,64,24,30,25,22,211,17
170156,24.09421487603306,92.61818181818182,31,1,25,12,8,8,26,10,3,10,36,22,29,64,24,30,25,22,217,17
172063,24.09413223140496,92.61272727272727,35,1,24,12,7,8,26,10,3,10,36,22,29,64,24,30,25,22,218,17
174063,24.094049586776862,92.60727272727273,33,1,24,13,8,8,26,10,3,10,36,22,29,64,24,30,25,22,216,17
176064,24.09396694214876,92.60181818181819,36,1,24,14,8,8,26,10,3,10,36,22,29,64,24,30,25,22,213,17
178064,24.093884297520663,92.59636363636363,35,1,24,15,8,8,26,10,3,10,36,22,29,64,24,30,25,22,210,17
180064,24.093801652892562,92.5909090909091,29,1,23,16,9,8,26,11,3,10,35,22,29,64,24,30,25,22,207,17
182064,24.093719008264465,92.58545454545454,32,1,23,17,9,8,26,11,4,10,35,22,29,64,24,30,25,22,204,17
184065,24.093636363636364,92.58,29,1,22,18,9,8,26,11,4,10,35,22,29,64,24,30,25,23,202,17
186063,24.093553719008266,92.57454545454546,35,1,22,20,10,8,26,11,4,11,35,22,29,64,24,30,25,23,200,17
188063,24.093471074380165,92.5690909090909,45,1,22,21,10,9,25,11,4,11,35,22,29,64,24,30,25,23,197,17
190063,24.093388429752068,92.56363636363636,34,1,23,22,10,9,25,11,4,11,35,22,29,64,24,30,25,23,195,17
192064,24.093305785123967,92.55818181818182,39,1,24,23,11,9,25,12,4,11,35,22,29,64,24,30,25,23,194,17
194066,24.09322314049587,92.55272727272727,32,1,25,24,11,9,25,12,5,11,35,22,29,64,24,30,25,23,192,17
196064,24.093140495867768,92.54727272727273,37,1,27,25,11,9,25,12,5,11,35,22,29,64,24,30,25,24,191,17
198064,24.09305785123967,92.54181818181819,43,1,28,26,12,9,25,12,5,11,35,22,29,64,24,30,25,24,190,17
200064,24.092975206611573,92.53636363636363,32,1,29,27,12,9,25,12,5,11,35,22,29,64,24,30,25,24,189,17
202063,24.092892561983472,92.53090909090909,35,1,29,27,12,9,25,12,5,12,35,22,29,64,24,30,25,24,188,17
204063,24.092809917355375,92.52545454545455,38,1,29,27,13,10,25,13,5,12,35,22,29,64,24,30,25,24,186,17
206063,24.092727272727274,92.52,37,1,28,27,13,10,25,13,6,12,35,22,29,64,24,30,25,24,184,17
208063,24.092644628099176,92.51454545454546,37,1,27,26,13,10,25,13,6,12,35,22,29,64,24,30,25,24,181,17
210065,24.092561983471075,92.50909090909092,40,1,26,25,14,10,25,13,6,12,35,22,29,64,24,30,25,24,179,17
212157,24.092479338842978,92.50363636363636,32,1,26,24,14,10,25,13,6,12,35,22,29,64,24,30,25,24,178,17
214158,24.092396694214877,92.49818181818182,42,1,25,23,14,10,25,13,6,12,35,22,29,64,24,30,25,24,176,17
216064,24.09231404958678,92.49272727272728,35,1,25,22,15,10,25,14,6,12,35,22,29,64,24,30,25,24,175,17
218153,24.092231404958678,92.48727272727272,42,1,24,21,15,11,25,14,7,13,35,22,29,64,24,30,25,24,174,17
220137,24.09214876033058,92.48181818181818,33,1,24,19,15,11,25,14,7,13,35,22,29,64,24,30,25,24,173,17
222155,24.09206611570248,92.47636363636364,38,1,24,18,16,11,25,14,7,13,35,22,29,64,24,30,25,24,172,17
224087,24.091983471074382,92.47090909090909,41,1,23,17,16,11,25,14,7,13,35,22,29,64,24,30,25,24,171,17
226065,24.09190082644628,92.46545454545455,36,1,21,16,16,11,25,14,7,13,35,22,29,64,24,30,25,24,171,17
228157,24.091818181818184,92.46,37,1,19,15,17,11,25,15,7,13,35,22,29,64,24,30,25,23,172,17
230067,24.091735537190083,92.45454545454545,40,1,17,14,17,11,25,15,7,13,35,22,29,64,24,30,25,23,174,17
232065,24.091652892561985,92.44909090909091,39,1,14,13,17,11,25,15,8,13,35,22,29,64,24,30,25,23,176,17
234116,24.091570247933884,92.44363636363636,33,1,13,12,18,12,25,15,8,14,35,22,29,64,24,30,25,23,178,17
236063,24.091487603305787,92.43818181818182,30,1,13,11,18,12,24,15,8,14,35,22,29,64,24,30,25,23,178,17
238063,24.091404958677685,92.43272727272728,43,1,15,11,18,12,24,15,8,14,35,22,29,64,24,30,25,23,176,17
240064,24.091322314049588,92.42727272727272,36,1,17,10,19,12,24,16,8,14,35,22,29,64,24,30,25,23,174,17
