Time(ms),Temp(C),Humidity(%),SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,SNR9,RainLabel
88072.0,33.9,55.6,34.0,35.0,32.0,34.0,34.0,34.0,32.0,34.0,26.0,0
90072.0,34.0,55.3,34.0,34.0,32.0,34.0,34.0,33.0,32.0,34.0,26.0,0
92071.0,33.9,55.3,37.0,34.0,32.0,34.0,34.0,34.0,31.0,33.0,26.0,0
94071.0,33.9,55.2,33.0,34.0,32.0,33.0,34.0,34.0,33.0,36.0,26.0,0
96071.0,33.9,55.1,33.0,31.0,33.0,36.0,34.0,33.0,34.0,34.0,26.0,0
98072.0,33.7,55.0,34.0,33.0,34.0,34.0,33.0,33.0,33.0,33.0,26.0,0
100073.0,33.9,54.9,33.0,33.0,33.0,34.0,34.0,33.0,33.0,34.0,26.0,0
102073.0,33.9,54.9,33.0,33.0,32.0,33.0,34.0,33.0,32.0,32.0,26.0,0
104072.0,33.8,55.2,33.0,33.0,34.0,34.0,33.0,32.0,34.0,34.0,26.0,0
106072.0,33.8,55.4,33.0,32.0,33.0,35.0,33.0,32.0,33.0,34.0,26.0,0
108072.0,33.7,55.6,33.0,34.0,34.0,34.0,34.0,33.0,33.0,34.0,26.0,0
110072.0,33.8,55.5,33.0,33.0,32.0,34.0,33.0,32.0,33.0,34.0,26.0,0
112072.0,33.7,55.6,33.0,32.0,33.0,33.0,33.0,32.0,33.0,34.0,26.0,0
114073.0,33.7,55.6,33.0,32.0,32.0,33.0,34.0,33.0,32.0,33.0,26.0,0
116073.0,33.7,55.5,33.0,33.0,32.0,34.0,34.0,33.0,32.0,33.0,26.0,0
118073.0,33.7,55.5,34.0,34.0,33.0,33.0,33.0,34.0,34.0,34.0,26.0,0
120073.0,33.7,55.5,33.0,33.0,34.0,36.0,33.0,34.0,34.0,33.0,26.0,0
122073.0,33.6,55.4,35.0,34.0,34.0,34.0,35.0,34.0,33.0,33.0,26.0,0
124072.0,33.7,55.4,35.0,34.0,33.0,33.0,34.0,34.0,33.0,30.0,26.0,0
126072.0,33.7,55.4,34.0,34.0,33.0,32.0,34.0,34.0,33.0,32.0,26.0,0
128072.0,33.5,55.5,34.0,34.0,33.0,33.0,34.0,34.0,33.0,32.0,26.0,0
130073.0,33.6,55.5,34.0,34.0,32.0,33.0,35.0,34.0,33.0,33.0,26.0,0
132073.0,33.5,55.5,35.0,34.0,34.0,33.0,34.0,35.0,34.0,36.0,26.0,0
134073.0,33.4,55.6,35.0,34.0,34.0,33.0,35.0,35.0,34.0,33.0,26.0,0
136073.0,33.4,55.6,35.0,35.0,35.0,33.0,36.0,35.0,35.0,33.0,26.0,0
138072.0,33.4,55.8,35.0,35.0,34.0,33.0,35.0,36.0,34.0,33.0,26.0,0
140072.0,33.3,55.9,35.0,36.0,34.0,33.0,35.0,36.0,34.0,36.0,26.0,0
142072.0,33.3,56.1,35.0,36.0,34.0,34.0,34.0,36.0,35.0,35.0,26.0,0
144072.0,33.3,56.2,37.0,36.0,34.0,35.0,35.0,36.0,33.0,35.0,26.0,0
146073.0,33.2,56.4,35.0,36.0,34.0,35.0,35.0,36.0,34.0,34.0,26.0,0
148073.0,33.3,56.3,34.0,36.0,34.0,35.0,35.0,37.0,33.0,31.0,26.0,0
150073.0,33.1,56.5,34.0,36.0,35.0,35.0,34.0,36.0,36.0,36.0,26.0,0
152072.0,33.0,56.4,36.0,36.0,36.0,32.0,34.0,36.0,35.0,33.0,26.0,0
154072.0,33.0,56.4,34.0,36.0,37.0,33.0,35.0,36.0,34.0,33.0,26.0,0
156071.0,32.9,56.5,32.0,36.0,36.0,33.0,34.0,35.0,34.0,33.0,26.0,0
158072.0,32.9,56.6,33.0,36.0,35.0,33.0,34.0,36.0,35.0,37.0,26.0,0
160071.0,33.0,56.5,33.0,35.0,37.0,37.0,33.0,36.0,37.0,33.0,26.0,0
162073.0,33.0,56.6,33.0,35.0,37.0,33.0,33.0,36.0,37.0,33.0,26.0,0
164072.0,32.9,56.8,35.0,35.0,34.0,37.0,32.0,35.0,39.0,33.0,26.0,0
166072.0,32.9,56.9,34.0,35.0,36.0,37.0,33.0,35.0,35.0,37.0,26.0,0
168072.0,32.8,57.0,32.0,35.0,34.0,37.0,32.0,34.0,34.0,36.0,26.0,0
170072.0,32.8,57.0,33.0,31.0,35.0,35.0,33.0,33.0,35.0,36.0,26.0,0
172071.0,32.9,57.0,35.0,35.0,34.0,36.0,33.0,33.0,35.0,36.0,26.0,0
174106.0,32.8,57.1,33.0,33.0,35.0,34.0,35.0,34.0,34.0,36.0,26.0,0
176136.0,32.7,57.3,36.0,36.0,35.0,34.0,36.0,35.0,26.0,29.0,26.0,0
178136.0,32.7,57.3,35.0,33.0,35.0,34.0,36.0,26.0,26.0,29.0,26.0,0
180135.0,32.7,57.4,36.0,35.0,34.0,36.0,34.0,26.0,26.0,29.0,26.0,0
182134.0,32.7,57.5,36.0,34.0,35.0,36.0,33.0,26.0,26.0,29.0,26.0,0
184134.0,32.6,57.6,36.0,33.0,35.0,36.0,34.0,26.0,26.0,29.0,26.0,0
186134.0,32.6,57.7,35.0,33.0,35.0,36.0,35.0,26.0,26.0,29.0,26.0,0
188133.0,32.5,57.8,35.0,36.0,35.0,35.0,26.0,26.0,26.0,29.0,26.0,0
190140.0,32.5,57.9,35.0,33.0,35.0,35.0,35.0,26.0,26.0,29.0,26.0,0
192137.0,32.5,58.0,34.0,34.0,35.0,35.0,26.0,26.0,26.0,29.0,26.0,0
194131.0,45.6,26.6,33.0,35.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
196132.0,32.5,58.3,35.0,34.0,35.0,37.0,38.0,35.0,26.0,29.0,26.0,0
198125.0,32.5,58.5,36.0,25.0,35.0,36.0,36.0,38.0,37.0,29.0,26.0,0
200128.0,32.5,58.5,35.0,34.0,37.0,37.0,36.0,33.0,26.0,29.0,26.0,0
202128.0,32.4,58.6,36.0,34.0,35.0,38.0,38.0,34.0,26.0,29.0,26.0,0
204122.0,32.4,58.6,35.0,34.0,35.0,35.0,36.0,34.0,35.0,29.0,26.0,0
206071.0,45.6,26.6,35.0,35.0,37.0,36.0,35.0,36.0,26.0,29.0,26.0,0
208075.0,32.5,58.5,36.0,35.0,35.0,36.0,36.0,34.0,35.0,36.0,36.0,0
210076.0,32.3,58.6,34.0,36.0,36.0,36.0,35.0,36.0,38.0,36.0,26.0,0
212075.0,32.4,58.4,37.0,37.0,35.0,36.0,35.0,37.0,37.0,34.0,26.0,0
214075.0,32.2,58.5,36.0,36.0,38.0,35.0,36.0,37.0,37.0,35.0,26.0,0
216076.0,32.2,58.7,35.0,37.0,38.0,35.0,35.0,37.0,38.0,37.0,26.0,0
218075.0,32.2,59.0,35.0,36.0,37.0,36.0,36.0,35.0,38.0,36.0,26.0,0
220076.0,32.2,59.1,36.0,35.0,39.0,33.0,36.0,35.0,38.0,37.0,26.0,0
222075.0,32.2,59.2,36.0,33.0,39.0,36.0,36.0,39.0,36.0,37.0,26.0,0
224074.0,32.2,59.4,36.0,36.0,35.0,37.0,36.0,38.0,36.0,35.0,26.0,0
226074.0,32.2,59.5,37.0,38.0,35.0,36.0,38.0,35.0,35.0,29.0,26.0,0
228074.0,32.2,59.5,34.0,35.0,39.0,35.0,36.0,36.0,35.0,29.0,26.0,0
230074.0,32.2,59.5,34.0,36.0,35.0,35.0,37.0,34.0,34.0,29.0,26.0,0
232075.0,32.2,59.5,36.0,36.0,35.0,36.0,35.0,38.0,38.0,37.0,26.0,0
234075.0,32.1,59.4,36.0,38.0,36.0,37.0,36.0,37.0,37.0,36.0,26.0,0
236076.0,31.9,59.5,36.0,36.0,36.0,36.0,36.0,36.0,37.0,39.0,26.0,0
238074.0,32.1,59.4,36.0,36.0,36.0,37.0,35.0,36.0,36.0,37.0,26.0,0
240074.0,32.1,59.5,35.0,36.0,36.0,35.0,34.0,36.0,35.0,37.0,26.0,0
242076.0,32.0,59.4,37.0,37.0,35.0,37.0,38.0,36.0,35.0,37.0,26.0,0
244075.0,32.1,59.4,35.0,38.0,35.0,38.0,38.0,39.0,36.0,36.0,26.0,0
246075.0,32.0,59.2,40.0,40.0,38.0,37.0,36.0,35.0,37.0,39.0,26.0,0
248076.0,31.9,59.3,38.0,37.0,36.0,39.0,39.0,37.0,38.0,35.0,26.0,0
250076.0,31.9,59.3,37.0,38.0,36.0,35.0,38.0,36.0,37.0,38.0,26.0,0
252076.0,31.9,59.3,35.0,36.0,36.0,36.0,38.0,40.0,36.0,37.0,26.0,0
254075.0,31.9,59.3,38.0,38.0,37.0,38.0,39.0,38.0,36.0,38.0,26.0,0
256075.0,31.9,59.4,39.0,38.0,38.0,37.0,38.0,38.0,38.0,39.0,26.0,0
258075.0,31.8,59.5,38.0,38.0,37.0,38.0,38.0,37.0,37.0,29.0,26.0,0
260076.0,31.9,59.5,38.0,38.0,38.0,39.0,38.0,39.0,35.0,38.0,26.0,0
262076.0,31.9,59.5,38.0,38.0,38.0,37.0,39.0,37.0,37.0,35.0,26.0,0
264076.0,31.7,59.7,34.0,37.0,37.0,35.0,39.0,38.0,35.0,37.0,26.0,0
266076.0,31.8,59.6,40.0,38.0,39.0,35.0,37.0,38.0,37.0,36.0,26.0,0
268076.0,31.7,59.9,38.0,39.0,36.0,39.0,40.0,38.0,36.0,37.0,26.0,0
270075.0,31.8,59.9,38.0,38.0,35.0,38.0,36.0,38.0,36.0,38.0,26.0,0
272075.0,31.7,60.1,38.0,39.0,36.0,39.0,38.0,38.0,36.0,39.0,26.0,0
274076.0,31.7,60.3,40.0,38.0,36.0,37.0,36.0,39.0,36.0,35.0,26.0,0
276076.0,31.7,60.4,40.0,38.0,37.0,37.0,36.0,37.0,36.0,37.0,26.0,0
278076.0,31.7,60.6,38.0,37.0,38.0,35.0,36.0,38.0,36.0,35.0,26.0,0
280076.0,31.6,60.6,37.0,36.0,36.0,37.0,38.0,37.0,36.0,35.0,26.0,0
282076.0,31.7,60.7,36.0,37.0,36.0,37.0,35.0,39.0,36.0,37.0,26.0,0
284076.0,31.7,60.6,34.0,37.0,36.0,35.0,36.0,37.0,37.0,35.0,26.0,0
286075.0,31.7,60.6,36.0,37.0,37.0,37.0,36.0,38.0,37.0,35.0,26.0,0
288075.0,31.7,60.6,37.0,38.0,39.0,35.0,37.0,38.0,36.0,36.0,26.0,0
290076.0,31.6,60.4,37.0,38.0,37.0,38.0,37.0,37.0,39.0,38.0,26.0,0
292076.0,31.7,60.4,38.0,36.0,36.0,40.0,38.0,36.0,35.0,35.0,26.0,0
294076.0,31.6,60.3,38.0,36.0,39.0,38.0,38.0,38.0,38.0,37.0,26.0,0
296076.0,31.5,60.2,38.0,36.0,37.0,42.0,38.0,36.0,37.0,38.0,26.0,0
298075.0,31.7,60.2,39.0,38.0,35.0,40.0,38.0,37.0,38.0,29.0,26.0,0
300075.0,31.5,60.2,39.0,37.0,37.0,39.0,36.0,40.0,37.0,29.0,26.0,0
302074.0,31.6,60.3,36.0,36.0,36.0,38.0,36.0,35.0,39.0,29.0,26.0,0
304075.0,31.7,60.4,37.0,36.0,35.0,40.0,37.0,37.0,37.0,38.0,26.0,0
306075.0,31.5,60.3,36.0,38.0,36.0,37.0,37.0,39.0,37.0,29.0,26.0,0
308076.0,31.7,60.3,38.0,37.0,37.0,38.0,38.0,38.0,39.0,37.0,26.0,0
310075.0,31.5,60.3,37.0,38.0,37.0,36.0,37.0,36.0,36.0,29.0,26.0,0
312076.0,31.5,60.3,37.0,39.0,36.0,38.0,37.0,37.0,35.0,36.0,26.0,0
314076.0,31.5,60.3,37.0,37.0,35.0,38.0,37.0,37.0,40.0,35.0,26.0,0
316076.0,31.4,60.4,37.0,37.0,35.0,37.0,37.0,36.0,35.0,36.0,26.0,0
318075.0,31.7,60.3,37.0,38.0,35.0,36.0,39.0,36.0,36.0,35.0,26.0,0
320074.0,31.5,60.3,36.0,38.0,37.0,37.0,36.0,36.0,36.0,29.0,26.0,0
322076.0,31.5,60.4,38.0,36.0,38.0,37.0,38.0,38.0,38.0,35.0,26.0,0
324076.0,31.4,60.6,37.0,35.0,36.0,35.0,37.0,35.0,36.0,36.0,26.0,0
326076.0,31.6,60.6,37.0,37.0,36.0,36.0,37.0,37.0,37.0,36.0,26.0,0
328076.0,31.5,60.6,36.0,37.0,37.0,36.0,37.0,37.0,38.0,36.0,26.0,0
330076.0,31.7,60.6,36.0,37.0,35.0,37.0,39.0,37.0,37.0,39.0,26.0,0
332076.0,31.5,60.4,39.0,38.0,36.0,38.0,39.0,36.0,38.0,39.0,26.0,0
334075.0,31.6,60.4,36.0,35.0,36.0,39.0,36.0,35.0,34.0,37.0,26.0,0
336074.0,31.7,60.2,36.0,37.0,37.0,37.0,37.0,37.0,39.0,29.0,26.0,0
338076.0,31.8,60.0,37.0,39.0,39.0,40.0,38.0,38.0,37.0,38.0,26.0,0
340076.0,31.9,59.9,41.0,36.0,36.0,38.0,36.0,36.0,37.0,42.0,26.0,0
342076.0,31.8,59.8,37.0,36.0,36.0,37.0,39.0,39.0,39.0,36.0,26.0,0
344073.0,32.0,59.6,37.0,35.0,35.0,37.0,36.0,37.0,26.0,29.0,26.0,0
346114.0,32.0,59.4,37.0,38.0,38.0,37.0,26.0,26.0,26.0,29.0,26.0,0
348137.0,32.1,59.2,39.0,35.0,37.0,37.0,40.0,26.0,26.0,29.0,26.0,0
350136.0,32.2,59.0,37.0,36.0,36.0,37.0,26.0,26.0,26.0,29.0,26.0,0
352135.0,32.4,58.8,38.0,37.0,37.0,27.0,26.0,26.0,26.0,29.0,26.0,0
354138.0,32.4,58.7,39.0,37.0,38.0,39.0,26.0,26.0,26.0,29.0,26.0,0
356139.0,32.5,58.5,38.0,37.0,37.0,37.0,37.0,26.0,26.0,29.0,26.0,0
358138.0,32.5,58.3,36.0,37.0,38.0,33.0,36.0,26.0,26.0,29.0,26.0,0
360138.0,32.6,58.1,36.0,37.0,39.0,36.0,38.0,26.0,26.0,29.0,26.0,0
362139.0,32.7,58.0,35.0,35.0,37.0,37.0,26.0,26.0,26.0,29.0,26.0,0
364139.0,32.8,57.8,35.0,36.0,36.0,37.0,26.0,26.0,26.0,29.0,26.0,0
366141.0,32.9,57.7,36.0,35.0,37.0,37.0,26.0,26.0,26.0,29.0,26.0,0
368141.0,32.9,57.7,35.0,35.0,38.0,37.0,26.0,26.0,26.0,29.0,26.0,0
370141.0,33.0,57.4,36.0,37.0,38.0,37.0,26.0,26.0,26.0,29.0,26.0,0
372142.0,33.2,57.2,35.0,36.0,34.0,37.0,26.0,26.0,26.0,29.0,26.0,0
374142.0,33.2,57.1,35.0,35.0,33.0,35.0,26.0,26.0,26.0,29.0,26.0,0
376142.0,33.3,56.7,38.0,36.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
378138.0,33.3,56.4,35.0,36.0,34.0,36.0,26.0,26.0,26.0,29.0,26.0,0
380141.0,33.4,56.1,34.0,36.0,35.0,35.0,26.0,26.0,26.0,29.0,26.0,0
382143.0,33.7,55.8,36.0,36.0,34.0,34.0,26.0,26.0,26.0,29.0,26.0,0
384142.0,33.5,55.6,36.0,34.0,33.0,34.0,26.0,26.0,26.0,29.0,26.0,0
386142.0,33.8,55.2,35.0,34.0,36.0,36.0,26.0,26.0,26.0,29.0,26.0,0
388143.0,33.7,55.1,35.0,34.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
390141.0,33.7,55.0,36.0,32.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
392141.0,33.7,54.9,36.0,34.0,36.0,35.0,26.0,26.0,26.0,29.0,26.0,0
394142.0,33.8,54.7,35.0,36.0,34.0,35.0,36.0,26.0,26.0,29.0,26.0,0
396142.0,33.6,54.8,36.0,34.0,36.0,34.0,26.0,26.0,26.0,29.0,26.0,0
398140.0,33.7,54.8,36.0,34.0,35.0,36.0,26.0,26.0,26.0,29.0,26.0,0
400142.0,33.7,54.7,38.0,35.0,33.0,35.0,26.0,26.0,26.0,29.0,26.0,0
402141.0,33.7,54.6,3.0,36.0,34.0,35.0,36.0,26.0,26.0,29.0,26.0,0
404143.0,33.8,54.3,36.0,36.0,33.0,35.0,26.0,26.0,26.0,29.0,26.0,0
406145.0,33.7,54.4,36.0,3.0,36.0,33.0,36.0,36.0,26.0,29.0,26.0,0
408142.0,33.8,54.2,37.0,34.0,36.0,34.0,37.0,37.0,26.0,29.0,26.0,0
410140.0,33.7,54.4,36.0,34.0,38.0,33.0,36.0,36.0,26.0,29.0,26.0,0
412144.0,33.6,54.5,36.0,6.0,3.0,36.0,34.0,35.0,36.0,29.0,26.0,0
414143.0,33.6,54.7,37.0,35.0,34.0,35.0,36.0,26.0,26.0,29.0,26.0,0
416142.0,33.7,55.0,36.0,36.0,35.0,35.0,36.0,26.0,26.0,29.0,26.0,0
418144.0,33.7,55.2,36.0,8.0,36.0,34.0,36.0,35.0,37.0,29.0,26.0,0
420143.0,33.5,55.2,35.0,34.0,35.0,35.0,35.0,26.0,26.0,29.0,26.0,0
422144.0,33.6,55.3,34.0,35.0,36.0,35.0,36.0,37.0,36.0,29.0,26.0,0
424144.0,33.6,55.3,36.0,35.0,35.0,36.0,36.0,37.0,35.0,29.0,26.0,0
426140.0,33.6,55.3,36.0,13.0,33.0,35.0,37.0,36.0,37.0,35.0,26.0,0
428136.0,33.4,55.5,37.0,35.0,36.0,38.0,37.0,37.0,26.0,29.0,26.0,0
430112.0,33.6,55.5,38.0,35.0,39.0,37.0,39.0,34.0,26.0,29.0,26.0,0
432120.0,33.6,55.6,36.0,35.0,37.0,35.0,38.0,35.0,35.0,29.0,26.0,0
434115.0,33.5,55.5,37.0,37.0,34.0,34.0,37.0,35.0,26.0,29.0,26.0,0
436108.0,33.7,55.3,34.0,36.0,36.0,34.0,34.0,36.0,36.0,36.0,26.0,0
438104.0,33.8,55.3,34.0,36.0,36.0,36.0,33.0,33.0,36.0,35.0,26.0,0
440092.0,33.7,55.7,33.0,34.0,35.0,35.0,33.0,34.0,34.0,35.0,26.0,0
442085.0,33.8,55.9,34.0,34.0,35.0,34.0,34.0,34.0,35.0,29.0,26.0,0
444081.0,33.7,56.1,33.0,36.0,35.0,33.0,33.0,35.0,35.0,29.0,26.0,0
446081.0,33.9,56.0,36.0,34.0,35.0,34.0,34.0,34.0,34.0,34.0,26.0,0
448078.0,34.0,55.9,34.0,34.0,34.0,35.0,34.0,35.0,34.0,29.0,26.0,0
450080.0,34.0,55.8,35.0,34.0,35.0,34.0,35.0,34.0,35.0,34.0,26.0,0
452079.0,34.0,55.6,35.0,35.0,34.0,36.0,34.0,35.0,37.0,34.0,26.0,0
454079.0,34.0,55.5,35.0,34.0,36.0,34.0,35.0,35.0,34.0,34.0,26.0,0
456079.0,34.0,55.2,34.0,35.0,34.0,36.0,35.0,37.0,37.0,34.0,26.0,0
458080.0,33.9,55.0,37.0,36.0,36.0,34.0,36.0,35.0,35.0,35.0,34.0,0
460079.0,33.9,54.7,35.0,39.0,37.0,37.0,35.0,36.0,37.0,29.0,26.0,0
462078.0,34.0,54.4,38.0,35.0,36.0,37.0,35.0,38.0,38.0,36.0,35.0,0
464078.0,33.9,54.3,35.0,38.0,37.0,36.0,35.0,38.0,39.0,36.0,26.0,0
466077.0,33.8,54.2,35.0,38.0,37.0,37.0,37.0,38.0,35.0,35.0,26.0,0
468079.0,33.6,54.2,37.0,38.0,34.0,38.0,37.0,35.0,39.0,35.0,26.0,0
470079.0,33.7,54.1,36.0,35.0,37.0,38.0,35.0,36.0,39.0,34.0,26.0,0
472079.0,33.7,54.1,37.0,38.0,37.0,34.0,36.0,36.0,36.0,36.0,26.0,0
474078.0,33.5,54.0,36.0,37.0,38.0,35.0,36.0,39.0,38.0,37.0,26.0,0
476079.0,33.6,54.0,36.0,39.0,37.0,39.0,38.0,39.0,37.0,36.0,26.0,0
478077.0,33.4,54.1,36.0,39.0,36.0,37.0,36.0,39.0,39.0,36.0,26.0,0
480077.0,33.5,54.0,36.0,39.0,39.0,35.0,36.0,40.0,38.0,36.0,26.0,0
482077.0,33.5,54.0,36.0,39.0,40.0,36.0,37.0,39.0,38.0,37.0,26.0,0
484079.0,33.4,54.2,36.0,38.0,36.0,36.0,35.0,40.0,39.0,37.0,26.0,0
486078.0,33.1,54.4,34.0,38.0,36.0,39.0,36.0,40.0,35.0,37.0,26.0,0
488079.0,33.2,54.4,36.0,38.0,36.0,37.0,39.0,40.0,36.0,37.0,26.0,0
490078.0,33.1,54.4,35.0,37.0,38.0,37.0,36.0,40.0,35.0,37.0,26.0,0
492079.0,33.0,54.6,36.0,40.0,36.0,37.0,36.0,37.0,37.0,37.0,26.0,0
